name,link,course,courseLink,description
Counting,/math/early-math/cc-early-math-counting-topic,Early math review,https://en.khanacademy.org/math/early-math,"1, 2, 3, let's count! In this unit, we're going to take our counting skills to the next level. We'll count pictures, objects, and even compare different numbers. By the end of the unit, you'll be able to count all the way up to 120 like it's no big deal!"
Addition and subtraction intro,/math/early-math/cc-early-math-add-sub-basics,Early math review,https://en.khanacademy.org/math/early-math,"Sure, you can count to 10, but did you know you can add and subtract numbers within 10 too? It might sound tricky, but don't worry-- you're going to have a blast learning all the different ways numbers can work together. Ready to put your thinking cap on?"
Place value (tens and hundreds),/math/early-math/cc-early-math-place-value-topic,Early math review,https://en.khanacademy.org/math/early-math,"Welcome to the wonderful world of place value! In this unit, you'll learn all about how numbers are put together-- from the hundreds place all the way down to the ones. You'll practice regrouping whole numbers, comparing three-digit numbers, and more. "
Addition and subtraction within 20,/math/early-math/cc-early-math-add-sub-20,Early math review,https://en.khanacademy.org/math/early-math,"Math can be a blast! In this unit, you'll learn about adding and subtracting numbers up to 20. That might sound tricky, but you'll have all the tools to help you out. Place value blocks, ten frames, arrays, and number lines can all make solving words problems a snap. "
Addition and subtraction within 100,/math/early-math/cc-early-math-add-sub-100,Early math review,https://en.khanacademy.org/math/early-math,"In this unit, you'll learn about adding and subtracting numbers within 100. But don't worry, we're going to make it super fun. You'll practice skip counting by 5s and 10s, use colorful place value blocks, and explore number lines. Plus, you'll solve cool word problems and even some 2-step challenges."
Addition and subtraction within 1000,/math/early-math/cc-early-math-add-sub-1000,Early math review,https://en.khanacademy.org/math/early-math,"Adding and subtracting 2- and 3-digit numbers might sound hard, but don't worry--in second grade, you'll learn all the strategies! With tools like place value blocks, number lines, and breaking apart numbers, you'll be solving equations like a math whiz in no time."
Measurement and data,/math/early-math/cc-early-math-measure-data-topic,Early math review,https://en.khanacademy.org/math/early-math,"Buckle up! We're zooming into the world of measurement and data. Get ready to learn how to measure in inches, feet, meters, and centimeters. We'll make different graphs to see how data can tell us all kinds of stories. Plus, we'll practice telling time on a number line and clock!"
Geometry,/math/early-math/cc-early-math-geometry-topic,Early math review,https://en.khanacademy.org/math/early-math,"Are you ready to jump into the world of geometry? You'll learn all about shapes—how to name them, identify them, and compare them to one another. From circles to rectangles, you'll be a shape master in no time!"
Add and subtract within 20,/math/cc-2nd-grade-math/x3184e0ec:add-and-subtract-within-20,2nd grade,https://en.khanacademy.org/math/cc-2nd-grade-math,"In this unit, we'll learn how to add and subtract small numbers in a fun and interactive way, develop confidence with these basic math skills, and build a strong foundation for future learning."
Place value,/math/cc-2nd-grade-math/cc-2nd-place-value,2nd grade,https://en.khanacademy.org/math/cc-2nd-grade-math,"You know that the number 123 isn't the same as the number 321, but do you really know why? In this unit on place value, we're going to explore what each digit means, how to break down numbers into their different place values, and how to compare numbers to see which is bigger or smaller."
Add and subtract within 100,/math/cc-2nd-grade-math/cc-2nd-add-subtract-100,2nd grade,https://en.khanacademy.org/math/cc-2nd-grade-math,"Sharpen your pencils and get ready to flex your math muscles! In this unit, you'll dive into addition and subtraction within 100. Whether you're using number lines, place value blocks, or solving word problems, you'll become a math master in no time."
"Add and subtract within 1,000",/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000,2nd grade,https://en.khanacademy.org/math/cc-2nd-grade-math,"Get ready to take your addition and subtraction skills to the next level! In this unit, you'll be working with numbers all the way up to 1000. We'll learn how to use number lines, place value blocks, and groups of 10 or 100 to help us out."
Money and time,/math/cc-2nd-grade-math/x3184e0ec:money-and-time,2nd grade,https://en.khanacademy.org/math/cc-2nd-grade-math,Do you know what time it is? Time to learn all about money and clocks! This unit will teach you everything you need to know about counting change and keeping track of the hours and minutes in a day.
Measurement,/math/cc-2nd-grade-math/cc-2nd-measurement-data,2nd grade,https://en.khanacademy.org/math/cc-2nd-grade-math,"How long is a pencil? How tall is a chair? In this unit, you'll learn the tools you need to answer these questions and more. From inches to meters, you'll become a measurement master in no time."
Data,/math/cc-2nd-grade-math/x3184e0ec:data,2nd grade,https://en.khanacademy.org/math/cc-2nd-grade-math,"Sometimes, numbers can be confusing. But with picture graphs, bar graphs, and line plots, we can turn all those digits into a story that's easy to understand."
Geometry,/math/cc-2nd-grade-math/x3184e0ec:geometry,2nd grade,https://en.khanacademy.org/math/cc-2nd-grade-math,"Are you ready to dive into the world of shapes? In this geometry unit, you'll learn all about squares, rectangles, and more. Plus, you'll find out how to split them into equal parts for even more fun!"
Intro to multiplication,/math/cc-third-grade-math/intro-to-multiplication,3rd grade,https://en.khanacademy.org/math/cc-third-grade-math,"Ready for some mental gymnastics? In this unit on multiplication, you'll learn how to combine equal groups of numbers to find the total - and even how to use arrays to draw out what you're doing. You'll learn all about what it means to combine equal groups of numbers to level up your math skills."
1-digit multiplication,/math/cc-third-grade-math/3rd-basic-multiplication,3rd grade,https://en.khanacademy.org/math/cc-third-grade-math,"What's 2 times 5? How about 4 times 7? If you're not sure, don't fear! Khan Academy is here. You'll learn all about the distributive property and how it can help you visualize multiplying numbers in a whole new way so you can multiply like a pro."
"Addition, subtraction, and estimation",/math/cc-third-grade-math/imp-addition-and-subtraction,3rd grade,https://en.khanacademy.org/math/cc-third-grade-math,"The world of math is full of twists and turns but luckily, this unit on addition, subtraction, and estimation is here to help you navigate. Whether it's mastering the art of rounding or learning how to regroup, Khan Academy is your secret weapon for success."
Intro to division,/math/cc-third-grade-math/intro-to-division,3rd grade,https://en.khanacademy.org/math/cc-third-grade-math,"Now that you know all about multiplication, it's time to divide and conquer! In this unit, you'll learn the basics of division and how it's connected to everything you've already learned about multiplication."
Understand fractions,/math/cc-third-grade-math/imp-fractions,3rd grade,https://en.khanacademy.org/math/cc-third-grade-math,"Come explore the wonderful world of fractions! In our 3rd grade unit, you'll learn how to break numbers into bite-sized pieces, plot them on a number line, and show them off in a tape diagram."
Equivalent fractions and comparing fractions,/math/cc-third-grade-math/equivalent-fractions-and-comparing-fractions,3rd grade,https://en.khanacademy.org/math/cc-third-grade-math,"You already know what fractions are, but did you know that some fractions that look different are actually the same? There's more to these pieces than meets the eye. Dive into this unit to learn the secrets of equivalent fractions and how to compare them!"
More with multiplication and division,/math/cc-third-grade-math/imp-multiplication-and-division,3rd grade,https://en.khanacademy.org/math/cc-third-grade-math,"If you're ready to take your math skills to the next level, this is the unit for you! You'll learn the nitty gritty of multiplication and division, master the associative property, and even figure out how to use letters and symbols to represent numbers. Plus, you'll tackle some cool tricks—like multiplying by 10!"
Arithmetic patterns and problem solving,/math/cc-third-grade-math/arithmetic-patterns-and-problem-solving,3rd grade,https://en.khanacademy.org/math/cc-third-grade-math,"Math isn't just about numbers - it's about patterns, too! In this unit, you'll figure out how to spot patterns in different types of problems and learn cool strategies to solve them.  You'll tackle word problems, master estimation, and learn to write expressions like a pro."
Quadrilaterals,/math/cc-third-grade-math/quadrilaterals-3rd,3rd grade,https://en.khanacademy.org/math/cc-third-grade-math,"With four sides and four angles, quadrilaterals might seem pretty straight-forward. But there's a lot more to these shapes than you might think!  In this unit, you'll learn all about these four-sided shapes and hone your skills at identifying, analyzing and classifying them."
Area,/math/cc-third-grade-math/imp-geometry,3rd grade,https://en.khanacademy.org/math/cc-third-grade-math,"Everything around us has a measurable area from the floor we walk on to the walls of our rooms. In this unit, we'll be exploring area! We'll learn some handy ways to figure out just how much space a shape covers--from counting squares, to multiplying, to breaking shapes down into smaller pieces. Let's get measuring!"
Perimeter,/math/cc-third-grade-math/3rd-perimeter,3rd grade,https://en.khanacademy.org/math/cc-third-grade-math,"Get ready to draw the line--the perimeter line, that is! This unit will walk you through everything you need to know about measuring the distance around shapes and finding out how big (or small) they really are. Who knew math could be so much fun?"
Time,/math/cc-third-grade-math/time,3rd grade,https://en.khanacademy.org/math/cc-third-grade-math,"Tick, tock, it's time to rock! In this unit on time, we'll practice reading clocks, using a number line to figure out the hours and minutes, and discovering how much time has passed between different moments."
Measurement,/math/cc-third-grade-math/imp-measurement-and-data,3rd grade,https://en.khanacademy.org/math/cc-third-grade-math,How heavy is that rock? How much water can that jar hold? These are just a few of the questions we'll tackle in this unit as we learn all about mass and volume!
Represent and interpret data,/math/cc-third-grade-math/represent-and-interpret-data,3rd grade,https://en.khanacademy.org/math/cc-third-grade-math,"So you've collected lots of cool data? Time to learn how to make it look even cooler! In this unit, you'll explore different types of graphs - from picture graphs to bar graphs to line plots. With these tools in your back pocket, you'll be able to show everyone just what your data means."
Place value,/math/cc-fourth-grade-math/imp-place-value-and-rounding-2,4th grade,https://en.khanacademy.org/math/cc-fourth-grade-math,"It's time to master place value! In this unit, you'll use blocks and tables to learn all about expanding, standardizing, and writing numbers. You'll also sharpen your skills in comparing and regrouping whole numbers."
"Addition, subtraction, and estimation",/math/cc-fourth-grade-math/imp-addition-and-subtraction-2,4th grade,https://en.khanacademy.org/math/cc-fourth-grade-math,"Addition and subtraction are key skills for any math whiz. In this unit, you'll sharpen those skills by working with multi-digit numbers. You'll also learn how to round and estimate, so you can quickly make calculations even when you don't have a calculator handy."
