nombre,numero,descripcion,url,idioma,topico
O que são números decimais?,1,"Aprenda o que são decimais, quais são suas partes e como devemos interpretá-las.",https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Como ler os números decimais?,2,Aprenda a ler corretamente os números decimais usando o nome dos valores posicionais.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Os números decimais na reta numérica,3,Aprenda a representar decimais na reta numérica e qual é o significado desses números.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Tipos de números decimais,4,Saiba quais são os diferentes tipos de números decimais.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Relação de ordem com números decimais,5,Aprenda a estabelecer relações de ordem com decimais.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Converter fração em decimal com resultado exato,6,Aprenda a encontrar expressões decimais que representem a mesmo que os números fracionários.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Converter fração em dízimas periódicas,7,Aprenda a encontrar expressões decimais que representam o mesmo que os fracionários.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Converter decimais exatos em fração,8,Aprenda a transformar uma expressão decimal exata no seu equivalente fracionário.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Converter dízimas periódicas simples em fração,9,Aprenda a transformar uma expressão de dízima periódica no seu equivalente fracionário.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Converter dízimas periódicas compostas em fração,10,Aprenda a transformar uma expressão dízimas periódicas no seu equivalente fracionário.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Converter decimais infinitos não periódicos em fração?,11,"Não é possível descrever os decimais não periódicos infinitos como uma fração. Surpreenda-se, entendendo o que isso significa.",https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Soma de decimais exatos,12,Aprenda tudo sobre adição e subtração de decimais.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Problemas com soma de decimais,13,Aprenda a usar a soma de decimais para resolver problemas cotidianos.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Subtração de decimais exatos,14,Aprenda a fazer subtrações de decimais exatos.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Problemas com subtração de decimais,15,Aprenda como usar a subtração de decimais para resolver problemas.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Multiplicação de decimais exatos,16,Aprenda como fazer multiplicação entre decimais.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Problemas com a multiplicação de decimais,17,Aprenda a usar a multiplicação de decimais para resolver situações da vida cotidiana.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Divisão de decimais exatos,18,Aprenda a multiplicar decimais passo a passo.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Problemas com divisão de decimais,19,Aprenda a usar a divisão para resolver problemas da vida cotidiana.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Arredondamento ou aproximação decimal,20,Aprenda o que é e como arredondar os números decimais.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Como usar números decimais para medir coisas?,21,Aprenda a usar números decimais para fazer medições.,https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Dinheiro,22,"Talvez você tenha ouvido falar de centavos de dólar, euro ou outros tipos de moedas. Se você ainda não sabe o que é, esta página é para você.",https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Conversão cambial de moedas,23,"Você sabe como converter unidades monetárias em outras, como dólares em reais e assim por diante? Aprenda como fazer isso aqui.",https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
Decimais para representar o tempo,24,"Aprenda a representar as horas, minutos e segundos em decimais.",https://edu.gcfglobal.org//pt/os-numeros-decimais/,Portugues,os-numeros-decimais
