nombre,numero,descripcion,url,idioma,topico
O que é e para que serve o Zoom,1,"Introdução ao Zoom, explicando para que serve o Zoom, o que é uma reunião virtual, os papeis de anfitrião e participante de uma reunião, como são geradas as reuniões do zoom, como são os links de acesso à uma reunião do Zoom, quais as diferenças entre a conta gratuita e os planos pagos do Zoom.",https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Zoom versus outras ferramentas,2,"Comparamos o Zoom com outros aplicativos para videoconferências e reuniões virtuais como Skype, Hangouts, Webex, Slack e Microsoft Teams e ressaltamos os recursos de cada um e a que usos estão direcionados.",https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Como baixar o Zoom no computador ,3,"Nesta página mostramos como fazer o download do Zoom no computador, como descarregar o zoom da página oficial e todos os passos até a instalação.",https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Como mudar o idioma do Zoom para português,4,Como passar o idioma do Zoom para o português em um computador Windows.,https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Como baixar o Zoom no celular,5,"Como baixar o Zoom no celular Android, como baixar o Zoom no celular iOS, como baixar o Zoom no seu iPhone.",https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Como criar uma conta gratuita do Zoom,6,"Como criar uma conta gratuita do zoom, passo a passo.",https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Como subir uma foto no seu perfil do Zoom,7,Como configurar sua conta gratuita do Zoom e subir uma foto ao seu perfil.,https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
A interface do Zoom,8,Apresentamos a interface do aplicativo Zoom e seus principais botões de início.,https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Como funcionam as salas de espera das reuniões do Zoom,9,Explicamos como funcionam as salas de espera do Zoom e porque esse recurso ajuda a evitar que pessoas não autorizadas ingressem a uma reunião virtual.,https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Como participar de uma reunião pelo computador,10,"Explicamos como participar de uma reunião virtual do Zoom pelo computador, passo a passo, desde o download automático do aplicativo até o ingresso à sala de espera da reunião.",https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Principais recursos do Zoom pelo computador,11,"Principais recursos do Zoom pelo computador como ativar e desativar microfone, ativar e desativar a câmera, chat de bate-papo, enviar arquivos, compartilhar tela, gravar reunião e acessar a informação da reunião.
",https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Como participar de uma reunião pelo celular,12,"Como participar de uma reunião virtual do Zoom pelo celular, passo a passo",https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Principais recursos do Zoom pelo celular,13,"Conheça os recursos disponíveis aos participantes de uma reunião do zoom pelo celular como, ativar e desativar o microfone, ativar e desativar a câmera, compartilhar conteúdo, compartilhar foto, colocar fundo virtual, enviar reações, entre outros recursos.",https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Problemas mais frequentes durante uma reunião do Zoom e como resolvê-los,14,"Os problemas de áudio e vídeo são os mais frequentes durante uma reunião virtual do Zoom. Aqui mostramos como resolver esses problemas, verificando as configurações do microfone e da câmera do seu dispositivo e realizando testes.",https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Como iniciar uma reunião imediata no Zoom,15,"Como iniciar uma reunião imediata no Zoom​ pelo computador e pelo celular, como enviar o convite da reunião aos participantes.",https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Como agendar uma reunião do Zoom,16,"Como agendar uma reunião do Zoom, enviar o convite aos demais participantes e deixar a reunião na agenda Google.",https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Como autorizar a entrada dos participantes à sua reunião do Zoom,17,Como autorizar a entrada dos participantes à sua reunião do Zoom,https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Onde encontrar e como alterar dados do seu perfil do Zoom,18,"Onde encontrar e como alterar dados do seu perfil do Zoom como senha de acesso, idioma, fuso horário, entre outros.",https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
Como configurar as preferências das suas reuniões do Zoom,19,"Como  estabelecer algumas preferências no seu perfil, para que quando tenha que iniciar uma reunião virtual, ela esteja configurada da maneira que você considera melhor. Algumas dessas preferências ajudam a melhorar a segurança da sua reunião, outras podem ajudar você a administrar melhor suas reuniões.",https://edu.gcfglobal.org//pt/conhecendo-zoom/,Portugues,conhecendo-zoom
