nombre,numero,descripcion,url,idioma,topico
A Internet e seus serviços,1,"Conheça os diferentes serviços da internet: a web, e-mail, mensagens instantânea, telefonia IP, transferência de arquivos, streaming multimídia, P2P, audio-video conferências, entre outros...",https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
O que é site web?,2,"Você sabe qual é a diferença entre uma página e um site?, Você gostaria aprender mais sobre como funciona a internet? Aqui você poderá se familiarizar com todos estes temas.",https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
Tipos de sites web,3,Descubra por que cada vez mais as empresas e as pessoas criam seus próprios sites web. Veja também os tipos de sites web mais comuns que existem atualmente na internet.,https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
Será que preciso de um site web?,4,Será que preciso de um site web?,https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
Conceitos técnicos,5,Conceitos técnicos da web,https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
As tecnologias da web,6,As tecnologias da web,https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
Monte sua estratégia Web,7,Explore o mundo do marketing digital para saber o que é uma estratégia web e para que serve.,https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
Estrutura de arquivos e URLs,8,Um site estático é composto por uma série de diretórios e arquivos localizados em um servidor e acessíveis a partir do seu computador através de um navegador.,https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
HTML - Hyper Text Markup Language,9,"HTML é uma linguagem que descreve um documento hipertexto. Toda a web está construída com base nesta linguagem. Trata-se de uma linguagem que descreve um documento de hipertexto e, toda a web é construída tendo como base esta linguagem.",https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
CSS - Cascading Style Sheets,10,A CSS é um linguagem descritiva que permite montar a apresentação de um documento HTML,https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
JavaScript,11,Consideramos JavaScript uma linguagem de programação que nos permite adicionar funcionalidade a um documento HTML.,https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
"Bibliotecas, templates e estrutura - Frontend",12,"Para o desenvolvimento da web, nem sempre é necessário começar do zero, podemos construir sobre bases que encontramos livremente na rede.",https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
Domínio e hospedagem,13,A compra do nome de domínio e do serviço de hospedagem é necessária para tornar o site público.,https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
Edição visual,14,"Graças à edição visual, podemos construir um site sem conhecimento de programação e diretamente no navegador.",https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
O que é um site dinâmico?,15,"Ao contrário de um site estático no qual o conteúdo foi previamente estabelecido por arquivos html, em um site dinâmico o conteúdo html é construído a partir de diferentes fontes.",https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
Tecnologias e conceitos no backend web,16,O backend abrange tudo o que é executado no servidor que é onde as tecnologias e conceitos que permitem a criação de sites dinâmicos são tratadas.,https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
Linguagens e frameworks,17,"Para o desenvolvimento no backend Web, podemos escolher entre muitas linguagens de programação, vejamos algumas delas.",https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
Sistemas de banco de dados,18,Os bancos de dados são fundamentais para sites dinâmicos onde estão todas as informações administrativas e o conteúdo do site.,https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
Integrando tudo,19,O desenvolvimento de sites dinâmicos envolve tecnologias diferentes e por isso precisamos de uma equipe com diversos conhecimentos e habilidades.,https://edu.gcfglobal.org//pt/criacao-de-sites/,Portugues,criacao-de-sites
