nombre,numero,descripcion,url,idioma,topico
O que são divisores?,1,Entenda de forma bem simples o que são os divisores de um número.,https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
Os números primos,2,Veja tudo o que você necessita saber sobre os números primos aqui nesta página.,https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
Decomposição em fatores primos,3,Observe como utilizar os números primos para decompor qualquer número.,https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
Encontrar a decomposição prima de um número,4,Conheça as formas de encontrar a decomposição dos números naturais aqui.,https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
A decomposição prima e os divisores,5,"A decomposição prima de um número tem informação sobre os divisores de um número, veja como interpretá-la.",https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
O máximo divisor comum,6,Veja o que é o máximo divisor comum de vários números e como encontrá-lo aqui nesta página.,https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
Propriedades dos divisores,7,Conhecer as propriedades dos divisores e do máximo divisor comum vai facilitar muitas coisas. Veja quais são e como usá-las aqui.,https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
Propriedades do máximo divisor comum,8,"Aqui encontraremos as principais propriedades do máximo divisor comum, assim como exemplos claros e exercícios para você praticar.",https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
Problemas que podem ser resolvidos com divisores,9,Aprenda a aplicar o conceito de máximo divisor comum para resolver problemas.,https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
O que são múltiplos?,10,"Nesta página mostraremos o que são os múltiplos de um número, e quais as características que definem os números pares.",https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
O mínimo múltiplo comum,11,Aqui veremos o conceito de mínimo múltiplo comum e qual é a melhor forma de calcular o MMC de vários números.,https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
Como tirar o mínimo múltiplo comum?,12,Aprenda a tirar o Mínimo Múltiplo Comum de dois ou mais números.,https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
Propriedades dos múltiplos,13,"Nesta página podemos encontrar as propriedades dos múltiplos e do mínimo múltiplo comum múltiplo, exemplos e muitos exercícios para praticar.",https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
Propriedades do mínimo múltiplo comum,14,"Nesta página você pode encontrar as propriedades do mínimo múltiplo comum, exemplos e alguns exercícios para poder praticar.",https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
Problemas que podemos resolver com múltiplos,15,Aprenda a resolver alguns tipos de problemas usando o conceito de mínimo múltiplo comum.,https://edu.gcfglobal.org//pt/multiplos-e-divisores/,Portugues,multiplos-e-divisores
