nombre,numero,descripcion,url,idioma,topico
Informações,1,Aprenda a configurar e administrar seus documentos do Word 2016.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Tipos de documentos,2,Aprenda a criar um documento e a buscar modelos no Word 2016.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Abrir um documento,3,Aprenda a abrir um documento no Word 2016 e no OneDrive.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Opções para salvar,4,Aprenda a salvar seus documentos do Word 2016 no OneDrive e em outro locais.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Opções de compartilhamento,5,Aprenda a compartilhar e a exportar documentos no Word 2016.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Imprimir,6,Aprenda a configurar seus documentos para imprimir no Word 2016.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Localizar dentro de um documento,7,Veja como localizar um texto no Word 2016.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Substituir um texto,8,Aprenda a Substituir um texto no Word 2016.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Recuo e tabulação,9,Aprenda a editar o recuo e a tabular seus documentos de word 2016.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Listas numeradas,10,Aprenda a fazer e a alterar uma lista numerada no Word 2016.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Listas de Vários Níveis,11,"Veja a forma mais prática de transformar seus textos no Word em listas de vários níveis.
",https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Orientação e tamanho da página,12,Veja como ajustar de forma simples a orientação e o tamanho da página no Word 2016.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Margens,13,Aprende a ajustar as margens dos seus documentos do Word 2016.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Quebra de Página,14,"Se você não sabe o que é uma quebra de página do Word 2016 ou como usá-la, acompanhe esta página para aprender.",https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Quebras de seção,15,Aprenda para que servem e como inserir quebras de seção.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Numeração de linhas de texto,16,Aprenda a numerar as linhas dos seus textos do Word 2016.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Formas,17,Aprenda a inserir formas no Word 2016.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Configuração de temas,18,Configurar os temas no Word 2016 é algo muito prático. Veja o procedimento aqui.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
Estilos,19,Aprenda o que é um estilo do Word 2016 e como inseri-los nos seus documentos.,https://edu.gcfglobal.org//pt/word-2016/,Portugues,word-2016
