nombre,numero,descripcion,url,idioma,topico
Está pensando em investir? Veja como:,1,Dê uma olhada nessas recomendações para não perder nem tempo nem dinheiro na hora de investir. Se você está pensando em investir? Veja aqui como:,https://edu.gcfglobal.org//pt/financas-e-investimentos/,Portugues,financas-e-investimentos
Os erros mais comuns na hora de economizar,2,Estes são alguns dos principais erros que as pessoas cometem na hora de economizar. Conhecê-los fará com que você saiba como evitá-los.,https://edu.gcfglobal.org//pt/financas-e-investimentos/,Portugues,financas-e-investimentos
Saiba como se divulgar nas redes sociais,3,Ter presença nas redes sociais é essencial para a construção de uma marca. Você quer divulgar sua empresa nas redes sociais? Veja como.,https://edu.gcfglobal.org//pt/financas-e-investimentos/,Portugues,financas-e-investimentos
Tire proveito do desemprego,4,Quer alguns conselhos para aproveitar bem o tempo enquanto estiver sem trabalhar? Tire o máximo de proveito do desemprego.,https://edu.gcfglobal.org//pt/financas-e-investimentos/,Portugues,financas-e-investimentos
Invista seu dinheiro conforme seu perfil,5,"Conservador, moderado ou arriscado? Descubra quem você é e invista seu dinheiro conforme seu perfil.",https://edu.gcfglobal.org//pt/financas-e-investimentos/,Portugues,financas-e-investimentos
Como vender pela internet?,6,As vendas online são um bom complemento para ganhar um dinheiro extra sem gastar muito tempo. Veja como vender seu produto pela internet.,https://edu.gcfglobal.org//pt/financas-e-investimentos/,Portugues,financas-e-investimentos
E você? Como controla suas finanças?,7,Esta pagina mostra como você pode controlar bem suas finanças fazendo com que seu salário dure o máximo possível.,https://edu.gcfglobal.org//pt/financas-e-investimentos/,Portugues,financas-e-investimentos
Como gerar rendas extras,8,Descubra o que é uma renda extra e veja alguns exemplos que podem ajudar a melhorar suas finanças.,https://edu.gcfglobal.org//pt/financas-e-investimentos/,Portugues,financas-e-investimentos
Como fazer compras no exterior,9,Qual momento é o mais adequado para fazer compras no exterior? Você sabe como transformar reais em dólares?,https://edu.gcfglobal.org//pt/financas-e-investimentos/,Portugues,financas-e-investimentos
Como controlar a ansiedade financeira?,10,Saiba o que é ansiedade financeira e como você pode dominá-la para assumir o controle de suas finanças pessoais.,https://edu.gcfglobal.org//pt/financas-e-investimentos/,Portugues,financas-e-investimentos
O que é economia GIG?,11,Descubra o que é a economia GIG e como ela está transformando o mercado de trabalho atual.,https://edu.gcfglobal.org//pt/financas-e-investimentos/,Portugues,financas-e-investimentos
