nombre,numero,descripcion,url,idioma,topico
Para que serve o Google Sala de Aula,1,Aqui mostramos de uma maneira rápida e simples para que serve o Google Sala de Aula ou Google Classroom e como professores particulares ou da rede básico de ensino podem utilizar essa ferramenta em suas aulas virtuais.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Quem pode utilizar o Google Sala de Aula,2,Aqui mostramos como você pode utilizar o Google Sala de Aula ou Google Classroom utilizando sua conta Gmail pessoal e o que muda quando você utiliza uma conta Gmail escolar (vinculada ao G Suite para Educação).,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como começar a usar o Google Sala de Aula,3,"Aqui explicamos como os professores podem começar a utilizar o Sala de Aula: onde encontrar essa ferramenta entre os aplicativos Google, como criar sua primeira turma do Google Sala de Aula, como postar avisos no quadro da turma e como adicionar um professor auxiliar e os alunos.",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como funciona o Google Sala de Aula no celular,4,"Veja ​como funciona o Google Sala de Aula no celular, como utilizar as principais funções do aplicativo, criar turmas, postar comentários e adicionar professores e alunos. Entenda também quais são as pequenas diferenças da interface do celular e do computador (pelo navegador de internet).",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Prática 1,5,Teste os conhecimentos adquiridos na última seção do curso Google Sala de Aula para Professores.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como configurar suas preferências no Google Sala de Aula,6,"Veja como configurar suas preferências no Google Sala de Aula, incluindo: como inserir ou alterar os dados da turma; como ativar, desativar ou redefinir o código do convite ; como permitir ou bloquear os posts dos alunos no mural, como mostrar notificações condensadas ou resumidas no mural.",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como definir as notificações do Google Sala de Aula no seu celular,7,"Nesta seção do curso Google Sala de Aula para Professores, você vê como definir as notificações do Google Sala de Aula no celular e ficar informado sobre todas as entregas e mensagens dos seus alunos.",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como configurar um sistema de avaliações no Google Sala de Aula​​,8,"Nesta seção do curso Google Sala de Aula para Professores, mostramos como configurar um sistema de avaliações no Google Sala de Aula​​. Você pode definir diferentes tipos de categorias como provas, apresentações, trabalhos em grupo etc. Depois de configurá-lo, o Google Sala de Aula calculará a média final dos seus alunos.",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Prática 2,9,Teste os conhecimentos adquiridos na última seção do curso Google Sala de Aula para Professores.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como disponibilizar o material de estudo no Google Sala de Aula,10,"Como disponibilizar o material de estudo no Google Sala de Aula. Conheça uma maneira organizada de disponibilizar o material das suas aulas aos seus alunos, se ter que enviar emails ou utilizar outras ferramentas. ",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como usar Google Meet nas aulas virtuais do Google Classroom,11,Como usar Google Meet nas aulas virtuais do Google Classroom. Veja como integrar essas duas ferramentas gratuitas e super úteis que vão tornar suas aulas virtuais mais completas e interessantes.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
"Como usar o Jamboard, o quadro do Google",12,"Como usar o Jamboard, o quadro online do Google. Com o Jamboard você pode melhorar muito a experiência da sua aula virtual, permitindo que seus estudantes visualizem um quadro como se estivessem em uma sala de aula presencial. E você ainda consegue compartilhar esse espaço para que eles participem!",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como utilizar o Google Drive integrado ao Google Sala de Aula,13,"Como utilizar o Google Drive integrado ao Google Sala de Aula, como compartilhar arquivos no Google Drive, como criar arquivos no google drive, como subir arquivos e pastas no Google Drive.",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Prática 3,14,Teste os conhecimentos adquiridos na última seção do curso Google Sala de Aula para Professores.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como criar atividades no Google Sala de Aula,15,"Como criar atividades no Google Sala de Aula, como criar exercícios no Google Sala de Aula, como criar tarefas no Google Sala de Aula.",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como criar atividades em grupo no Google Sala de Aula,16,Veja como criar trabalhos em grupo no Google Sala de Aula para que seus alunos possam construir apresentações em conjunto facilmente.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como editar ou excluir uma atividade já publicada no Google Sala de Aula,17,Como editar ou excluir uma atividade já publicada no Google Sala de Aula.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Prática 4,18,Teste os conhecimentos adquiridos na última seção do curso Google Sala de Aula para Professores.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como criar exames no Google Sala de Aula usando os formulários do Google,19,Como criar exames no Google Sala de Aula usando os formulários do Google​. Veja como é fácil criar uma prova no Google formulários para avaliar seus alunos.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como configurar um exame do Google Forms e dificultar a cola,20,"Como configurar um exame do Google Forms e dificultar a cola. Aqui explicamos como você pode estabelecer configurações que dificultarão a troca de informações entre seus alunos, além de outras preferências que podem facilitar muito a correção da prova.",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como editar o visual de um exame no Google Formulários,21,"​Como editar o visual de um exame no Google Formulários. Veja aqui como incluir um logo em um formulário google, como mudar as cores das seções e do fundo do formulário, deixando assim o seu exame com a cara da sua escola ou marca.",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Prática 5,22,Teste os conhecimentos adquiridos na última seção do curso Google Sala de Aula para Professores.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como corrigir atividades no Google Sala de Aula,23,"Veja como corrigir atividades no Google Sala de Aula​​, enviar comentários para os alunos e atribuir notas.",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
Como corrigir exames do Google Forms integrados ao Google Sala de Aula,24,​Aqui explicamos como corrigir exames no Google Forms integrado ao Google Sala de Aula de uma maneira muito prática.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-professores/,Portugues,google-sala-de-aula-para-professores
