nombre,numero,descripcion,url,idioma,topico
Começando a multiplicar,1,Aqui você aprenderá o que é a multiplicação e como ela pode nos ajudar no nosso dia a dia. Também conhecerá cada uma das partes que a compõe.,https://edu.gcfglobal.org//pt/como-fazer-multiplicacao/,Portugues,como-fazer-multiplicacao
A Multiplicação e seus dígitos,2,Saiba porque para realizar multiplicações entre números grandes é necessário saber fazer multiplicações entre dígitos.,https://edu.gcfglobal.org//pt/como-fazer-multiplicacao/,Portugues,como-fazer-multiplicacao
As tábuas de multiplicar e as tabuadas,3,Nesta página você conhecerá os conceitos de tabuadas e tábuas de multiplicação. Além disso aprenderá quais são as melhores formas de fazer multiplicações. ,https://edu.gcfglobal.org//pt/como-fazer-multiplicacao/,Portugues,como-fazer-multiplicacao
Multiplicar números grandes,4,Veja como é fácil fazer multiplicações de números grandes por números de um único dígito.,https://edu.gcfglobal.org//pt/como-fazer-multiplicacao/,Portugues,como-fazer-multiplicacao
Multiplicar por números de várias dígitos,5,Qual é a melhor forma de multiplicar números de vários dígitos?,https://edu.gcfglobal.org//pt/como-fazer-multiplicacao/,Portugues,como-fazer-multiplicacao
Colocando a multiplicação em prática,6,"Aqui você poderá ver como usar a multiplicação para resolver problemas do seu dia a dia.
",https://edu.gcfglobal.org//pt/como-fazer-multiplicacao/,Portugues,como-fazer-multiplicacao
Numerais multiplicativos,7,"Mostramos nesta página os conceitos de números multiplicativos como dobro, triplo etc.",https://edu.gcfglobal.org//pt/como-fazer-multiplicacao/,Portugues,como-fazer-multiplicacao
Propriedades da multiplicação,8,Conhecendo as propriedades da multiplicação você reforçará suas bases e entenderá melhor muitos outros conceitos.,https://edu.gcfglobal.org//pt/como-fazer-multiplicacao/,Portugues,como-fazer-multiplicacao
Propriedade distributiva,9,Saiba o que é a propriedade distributiva e como usá-la corretamente.,https://edu.gcfglobal.org//pt/como-fazer-multiplicacao/,Portugues,como-fazer-multiplicacao
Prioridades da multiplicação,10,"Resolvemos primeiro a adição ou a multiplicação? Aprenda a fazer operações combinadas aqui.
",https://edu.gcfglobal.org//pt/como-fazer-multiplicacao/,Portugues,como-fazer-multiplicacao
Multiplicação de números positivos e negativos,11,"Como realizar multiplicações com números negativos? É super fácil, veja aqui nesta página.",https://edu.gcfglobal.org//pt/como-fazer-multiplicacao/,Portugues,como-fazer-multiplicacao
Problemas com multiplicação de inteiros,12,"A multiplicação de números positivos e negativos também pode ser usada para interpretar situações da vida real, veja como aqui.",https://edu.gcfglobal.org//pt/como-fazer-multiplicacao/,Portugues,como-fazer-multiplicacao
