nombre,numero,descripcion,url,idioma,topico
O que é o Excel 2010 e qual a sua utilidade?,1,Nesta página você aprenderá o que é o Excel 2010 e também verá a sua grande utilidade.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Abrindo o Excel 2010,2,Aqui você aprenderá como abrir o Excel 2010 e também encontrá um vídeo instrutivo de como funciona a interface dos programas do pacote Microsoft Office 2010.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Conheça o ambiente de trabalho do Excel 2010,3,Nesta página você conhecerá o ambiente de trabalho do Excel 2010.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Como criar e salvar um arquivo?,4,"Aqui você verá os passos necessários para criar e salvar uma nova pasta ou arquivo do Excel 2010. 

",https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Como abrir e fechar um arquivo?,5,"Nesta página você aprenderá a utilizar os comandos que lhe permitirão abrir e fechar arquivos do Excel 2010. 
",https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Teste de Excel 2010: primeira parte,6,Teste seus conhecimentos sobre a primeira parte do curso de Microsoft Excel 2010.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Como usar as células do Excel 2010?,7,Nesta página você aprenderá como colocar dados nas células do Excel 2010 e quais deles podem ser inseridos nas células.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Como alterar o formato das células?,8,"Nesta página você aprenderá como alterar o formato das células. Por exemplo, o formato das letras, dos números e das datas.
",https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Como fazer uma adição no Excel 2010?,9,Nesta página você encontrará os passos necessários para fazer uma adição de forma fácil e rápida com o Excel 2010.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Como limpar e excluir uma célula,10,"Nesta página você aprenderá a diferença entre limpar e excluir uma célula. Além disso, aprenderá como proceder em cada um dos casos.",https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Copiar e colar o conteúdo de uma célula,11,Aqui você aprenderá os comandos para copiar e colar uma célula no Excel 2010.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Como arrastar e soltar células?,12,"Nesta página você aprenderá a reorganizar os dados contidos em uma planilha ao arrastar e soltar células.
",https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Alterar a largura das células,13,Nesta página você aprenderá a alterar a largura das colunas manualmente ou usando o comando ajustar tamanho de coluna.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Alterar a altura das linhas,14,"Nesta página você aprenderá a alterar a altura das linhas manualmente ou com o comando Ajustar altura de linha. 
",https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Inserir linhas e colunas,15,"Aqui você encontrará os passos para inserir linhas e colunas em uma planilha. Além disso, poderá conhecer quais opções para inserir estão disponíveis.",https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
"Excluir, quebrar texto e mesclar células",16,"Nesta página você aprenderá a excluir linhas e colunas do excel 2010. Ainda aqui, veremos como quebrar um texto e, também como mesclar colunas para obter uma de maior tamanho.",https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Teste de Excel 2010: parte 2,17,Teste seus conhecimentos sobre Excel 2010 respondendo a algumas perguntas.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
O que é uma planilha?,18,"Nesta página você aprenderá a reconhecer uma planilha do Excel 2010.
",https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
"Inserir, alterar o nome e excluir planilhas",19,"Nesta página você aprenderá como inserir, alterar o nome e excluir planilhas. 
",https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Como copiar e mover uma planilha,20,Nesta página você aprenderá a copiar e mover uma planilha.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Mudar a cor e agrupar planilhas,21,Aqui você aprenderá como mudar a cor das guias de uma planilha para destacá-la.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Congelar e descongelar linhas e colunas,22,"Nesta página você aprenderá como congelar linhas e colunas, também verá os passos necessários para descongelá-las. 
",https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Teste de Excel 2010: parte 3,23,Teste os conhecimentos adquiridos na última seção do curso de Excel 2010.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
O que é e como criar uma fórmula simples ?,24,Nesta página vamos aprender o que é uma fórmula simples. Este é o primeiro passo para entender bem os cálculos realizados no Excel.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Fórmulas com referências de célula,25,"Nesta página você aprenderá a fazer uma fórmula com referência de célula no Excel 2010.

",https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Criar fórmulas clicando nas células,26,"Nesta página você aprenderá como fazer uma fórmula simples, fácil e de modo rápido clicando nas células. 
",https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Modificar fórmulas simples,27,Nesta página você aprenderá como modificar fórmulas simples.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Como calcular uma fórmula composta,28,"Nesta página você aprenderá calcular uma fórmula composta.
",https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
Criando fórmulas com referências relativas,29,Nesta página você aprenderá como fazer fórmulas com referências relativas. Desta maneira poderá poupar o seu tempo fazendo ao mesmo tempo um cálculo em várias colunas ou linhas.,https://edu.gcfglobal.org//pt/microsoft-excel-2010/,Portugues,microsoft-excel-2010
