nombre,numero,descripcion,url,idioma,topico
Como compartilhar o link de um documento do Drive?,1,"Há alguns dias eu estava escrevendo um documento no meu Drive, e por acaso encontrei uma ferramenta.",https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
A nanotecnologia e sua serventia,2,Conheça alguns aspectos fundamentais da nanotecnologia e da nanociência.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
Como recuperar sua conta do Facebook,3,Saiba como recuperar sua conta no Facebook caso você esqueça a senha.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
Os ícones mais conhecidos da informática,4,No mundo da informática existem vários símbolos que representam sempre a mesma coisa.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
Comprimir e descomprimir arquivos,5,Saiba como identificar arquivos comprimidos e como comprimir os seus arquivos.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
O que é uma impressora 3D?,6,"Entenda o que são as impressoras 3D, o que podemos imprimir por meio de impressoras 3D e como a impressão 3D está revolucionando a medicina, a robótica e muito mais.",https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
Sistemas operacionais: a família Unix,7,O Unix é um sistema operacional criado no início dos anos 70. Veja mais aqui.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
Como bloquear um número de telefone,8,Neste artigo vamos ensinar como bloquear chamadas de um número em celulares iOS e Android.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
Realidade aumentada (RA),9,O que é a realidade aumentada e como funciona?,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
Sincronize seu computador com seu iPhone ou iPad,10,"Aprenda a sincronizar os arquivos do seu computador com os dispositivos iPhone, iPad ou iPod.",https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
Você sabe fazer memes?,11,"Quando falamos de ""meme da Internet"", nos referimos à aquelas imagens que expressam situações...",https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
Medidas de Armazenamento de Informações,12,Como identificar as medidas de armazenamentos de informações de dados.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
"Lua, a nova linguagem de programação",13,Recentemente foi criada aqui no Brasil uma linguagem de programação usada internacionalmente.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
"Realidade Virtual, um novo mundo para conhecer",14,"Você sabe o que é realidade virtual? Neste artigo vamos explicar com detalhes, veja!",https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
O que são Bitcoins?,15,Se você já ouviu falar dos Bitcoins? Saiba mais sobre esta moeda neste artigo.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
A internet das coisas,16,"Já imaginou um mundo onde tudo está conectado à internet? Isso já está acontecendo.
",https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
Minha conta: A nova ferramenta do Google,17,Agora você pode gerenciar sua conta do Google na plataforma Minha conta. Você quer saber mais?,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
Como fazer um ID (uma conta) da Apple?,18,Você sabe como fazer uma conta ID da Apple? Veja aqui neste artigo.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
"Roaming: Vantagens, desvantagens e alternativas",19,"O serviço de roaming pode ser útil para quem está viajando, mas existem algumas coisas importantes a saber.",https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
Antivírus para Android,20,Recomendações de antivírus para usar em aparelhos com sistema operativo Android.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
IMEI : O número que protege seu telefone,21,Os aparelhos telefônicos móveis ou celulares contam com um número de identificação única.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
Qual é a diferença entre Realidade Virtual e Realidade Aumentada,22,Aprenda o que são e quais as diferenças entre essas duas tecnologias que estão mudando muitas industrias no mundo.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
"Robôs, trabalhos e você",23,Conheça ps benefícios de incluir os robôs para automatizar tarefas no mercado de trabalho.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
O que são chatbots?,24,Aprenda o que são chatbots o porque cada vez são mais usados.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
O que é machine learning ou aprendizado de máquina?,25,Nesta página lhe mostraremos o que é e como funciona uma Machine Learning ou aprendizado de máquina.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
O que você acha de salvar na Nuvem?,26,Veja o que é e tenha acesso a algumas recomendações para usar a Nuvem ou Cloud de forma segura.,https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
O que é QR Code ou código Q.R.?,27,"As letras Q.R são as siglas de Quick Response, ou em português Código de resposta Rápida.",https://edu.gcfglobal.org//pt/conhecimentos-tecnologicos/,Portugues,conhecimentos-tecnologicos
