nombre,numero,descripcion,url,idioma,topico
Quem sou e o que quero?,1,O que é necessário analisar antes de entrar na universidade?,https://edu.gcfglobal.org//pt/os-caminhos-da-graduacao/,Portugues,os-caminhos-da-graduacao
Escolhendo uma carreira,2,O que você deve fazer quando estiver buscando uma carreira para estudar.,https://edu.gcfglobal.org//pt/os-caminhos-da-graduacao/,Portugues,os-caminhos-da-graduacao
Despesas pessoais na universidade,3,"As finanças pessoais é uma das coisas que menos nos preocupamos, mas que são muito importantes na nossa vida acadêmica.
",https://edu.gcfglobal.org//pt/os-caminhos-da-graduacao/,Portugues,os-caminhos-da-graduacao
A adaptação à universidade,4,Entrar na universidade causa muito medo em algumas pessoas sem necessidade.,https://edu.gcfglobal.org//pt/os-caminhos-da-graduacao/,Portugues,os-caminhos-da-graduacao
Tipos de instituições superiores,5,Conheça os tipos de instituições superiores que existem e quais são suas principais características.,https://edu.gcfglobal.org//pt/os-caminhos-da-graduacao/,Portugues,os-caminhos-da-graduacao
Tipos de educação,6,"Nem sempre ao entrar no ensino superior você tem que fazer uma graduação, veja porque.",https://edu.gcfglobal.org//pt/os-caminhos-da-graduacao/,Portugues,os-caminhos-da-graduacao
O que é um plano de estudos,7,Veja como é composto um plano de estudos e quais são suas principais características.,https://edu.gcfglobal.org//pt/os-caminhos-da-graduacao/,Portugues,os-caminhos-da-graduacao
Quais são as áreas profissionais?,8,Existe uma grande variedade de campos onde você pode se desempenhar conforme seus interesses e habilidades.,https://edu.gcfglobal.org//pt/os-caminhos-da-graduacao/,Portugues,os-caminhos-da-graduacao
Intercâmbio estudantil,9,Conheça esta prática e como isso pode lhe ajudar a crescer como pessoa.,https://edu.gcfglobal.org//pt/os-caminhos-da-graduacao/,Portugues,os-caminhos-da-graduacao
Formas de financiamento,10,Veja algumas alternativas que existem para financiar seus estudos.,https://edu.gcfglobal.org//pt/os-caminhos-da-graduacao/,Portugues,os-caminhos-da-graduacao
O que é uma bolsa de estudos e como funciona?,11,Saiba o que é e como se aplicar para uma bolsa e estudar sem se preocupar com dinheiro.,https://edu.gcfglobal.org//pt/os-caminhos-da-graduacao/,Portugues,os-caminhos-da-graduacao
Instituições que oferecem bolsas,12,Conheça algumas das entidades que oferecem algum tipo de bolsa.,https://edu.gcfglobal.org//pt/os-caminhos-da-graduacao/,Portugues,os-caminhos-da-graduacao
