nombre,numero,descripcion,url,idioma,topico
Seja bem vindo!,1,Seja bem vindo ao curso de finanças da GCF! Aqui você aprenderá como cuidar melhor do seu dinheiro.,https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
Sua relação com o dinheiro é boa?,2,"Como se relacionar bem com o dinheiro, como valorizar mais o que você ganha.",https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
Você se controla bem?,3,Controlar o dinheiro é fundamental para não sofrer consequências negativas futuro.,https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
A necessidade de um orçamento,4,O que é um orçamento e qual é sua utilidade? Veja aqui nesta página.,https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
Como montar um orçamento,5,Veja como montar um orçamento no Excel.,https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
Aplicativos de controle de gastos,6,Nesta páginas você verá alguns aplicativos para controlar seus gastos.,https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
Trabalhando em conjunto,7,É necessário incluir toda a família no orçamento.,https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
Estou com dívidas e agora?,8,Quais são os procedimentos necessários para sair das dívidas?,https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
Cuidado com os cartões de créditos e limites,9,Cartões de créditos e cheque especial são alternativas bem perigosas. Veja porque.,https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
Créditos financiamentos e juros,10,Ao adquirir um crédito ou financiar uma compra devemos estar atentos aos juros.,https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
Onde guardar seu dinheiro?,11,"Poupança, imóveis, terras, ouro etc. Escolha aquela que você mais confia e deposite seu dinheiro.",https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
Invista seu dinheiro,12,Como fazer para que seu dinheiro não fique parado e renda mais.,https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
Cuide do seu futuro,13,"Planos para sua aposentadoria, como ter uma previdência privada, como aposentar com tranquilidade.",https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
Tenha em consideração os imprevistos,14,"A importância de pagar um plano médico e um plano funerário e de ter reservas para eventualidades, como um casamento, batizado etc.",https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
Página final,15,Nosso agradecimento e as ultimas dicas para suas finanças pessoais,https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
Dicas para sobreviver a tempos difíceis na economia,16,Como sobreviver a tempos difíceis: dicas de quem superou a Grande Depressão de  1929,https://edu.gcfglobal.org/pt/controle-financeiro-familiar-e-pessoal/,Portugues,controle-financeiro-familiar-e-pessoal
