nombre,numero,descripcion,url,idioma,topico
Empréstimos,1,"Veja o que é, como funciona, as diferenças e similaridades, e as vantagens e desvantagens de fazer empréstimos.",https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Crédito,2,Aqui explicaremos detalhadamente o que é um crédito financeiro e quais são as implicações de usá-los.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Diferença entre empréstimo e crédito,3,Aqui vamos conhecer as diferenças entre crédito e empréstimo.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Crédito para pessoa física,4,"Existem diferentes opções de créditos oferecidos por instituição financeiras ou bancos. Veja alguns dos mais comuns para pessoa física.
",https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Crédito para pessoa jurídica,5,"Se você tem uma empresa, talvez possas se interessar em conhecer quais são as opções de créditos para pessoa jurídica.",https://edu.gcfglobal.org//pt/credito/,Portugues,credito
"Crédito com hipoteca, consolidado e microcrédito",6,"Ainda existem outros tipos de crédito como o crédito com hipoteca, crédito consolidado e o microcrédito. Conheça mais sobre eles:",https://edu.gcfglobal.org//pt/credito/,Portugues,credito
O que é um cartão de crédito?,7,"É muito provável que você tenha um cartão de crédito, mas você sabe bem o que é um cartão de crédito e quais são suas características? ",https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Uso do cartão de crédito,8,Como uso melhor meu cartão de crédito? Aqui você verá como tirar mais proveito do seu cartão e como usá-lo com mais cuidado.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Conselhos sobre o seu cartão de crédito,9,"Separamos alguns conselhos e recomendações sobre o seu cartão de crédito. Talvez possam ajudá-lo a controlar melhor suas contas.
",https://edu.gcfglobal.org//pt/credito/,Portugues,credito
O que os bancos podem cobrar de você?,10,Os bancos podem cobrar algumas taxas de você por conta do uso do seu cartão de crédito. Observe aqui o que os banco podem ou não cobrar.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Qual cartão de crédito?,11,"Aqui você encontrará alguns pontos que você deve considerar na hora de escolher seu cartão de crédito.
",https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Características dos cartões de crédito,12,Aqui você encontrará as características principais dos cartões de crédito que podem ajudar a você escolher qual é a melhor para você.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
O que são juros?,13,"Aprenda o que são juros em termos financeiros e como você pode utilizar esta informação na sua vida financeira.
",https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Como os juros são calculados?,14,Aqui você aprenderá como calcular os juros.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Quais são as taxas de juros?,15,"Aqui você aprenderá quais são as taxas de juros.
",https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Juros e alguns conceitos,16,Aqui você poderá entender alguns conceitos sobre juros.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Sistema de amortização,17,Aqui você verá e conhecerá alguns sistemas de amortização.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
O que é uma hipoteca?,18,Aqui você aprenderá o que é uma hipoteca.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
O que você deve saber sobre uma hipoteca,19,Aqui você encontrará informações sobre hipoteca.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Alienação fiduciária,20,Nesta página você aprenderá o que é alienação fiduciária.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Recomendações,21,Aqui você verá algumas recomendações na hora de solicitar um financiamento.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
O que é o leasing ou arrendamento mercantil?,22,Nesta página você aprenderá o que é um Leasing ou contrato de arrendamento mercantil e como você deve usá-lo a seu favor.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
O que você deve saber sobre o Leasing,23,"Aqui você verá alguns pontos importantes sobre o Leasing ou contrato de arrendamento mercantil.
",https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Tipos de Leasing,24,Aqui você aprenderá sobre os tipos de leasing e quais os seus usos e características.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
Vantagens e desvantagens do Leasing,25,Aqui você conhecerá as vantagens e desvantagens do Leasing ou arrendamento mercantil.,https://edu.gcfglobal.org//pt/credito/,Portugues,credito
