nombre,numero,descripcion,url,idioma,topico
Whatsapp ou Telegram: qual é melhor,1,"Entenda quais as diferenças entre WhatsApp e Telegram e tome uma decisão mais consciente sobre qual é o melhor aplicativo para você. Apresentamos uma comparação entre  a compatibilidade, a capacidade de envio de arquivos, a criação de grupos e canais e outros recursos do WhatsApp e do Telegram. ",https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
Como criar uma conta no Telegram,2,Veja como criar uma conta no Telegram em menos de 3 minutos. Explicamos passo a passo como instalar o Telegram no seu celular e abrir uma conta neste aplicativo.,https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
Como usar o Telegram Web,3,Veja como usar o Telegram no computador sem ter que instalar nenhum programa. Mostramos como acessar o Telegram diretamente no navegador.  É muito fácil usar o Telegram Web!,https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
Como baixar o Telegram no PC,4,"Veja como instalar o Telegram no seu computador Windows. Mostramos o passo a passo como baixar o Telegram no PC e vinculá-lo a sua conta, em menos de 3 minutos.",https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
Como enviar mensagens de texto e voz no Telegram,5,Como enviar mensagens de texto e voz no Telegram. Veja como incluir stickers animados no chat do Telegram. Também mostramos como enviar áudio no Telegram.,https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
Como mudar nome de usuário e foto de perfil do Telegram,6,"Veja como mudar seu nome de usuário, descrição e foto de perfil no Telegram em menos de 3 minutos. ",https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
Como configurar notificações e sons do Telegram,7,Aqui mostramos como configurar as notificações do Telegram. Veja como ativar as notificações importantes do Telegram e como desativar as notificações que não te interessam.,https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
Como configurar privacidade e segurança da sua conta do Telegram,8,"Como configurar privacidade e segurança do Telegram. Veja como definir quem pode ver seu último acesso do Telegram, foto de perfil etc. Veja ainda como reforçar a segurança da sua conta do Telegram.",https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
Como personalizar o chat do Telegram,9,"Veja como personalizar o visual do Telegram para deixá-lo com seu estilo. Confira como alterar as cores do Telegram, como incluir uma foto de fundo no chat do Telegram, entre outras configurações.",https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
Como criar um grupo do Telegram no Android,10,"Veja como criar um grupo do Telegram no Android, aprenda a incluir os membros no seu grupo de Telegram e muito mais!",https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
Como criar um grupo do Telegram no iOS,11,"Veja como criar um grupo do Telegram no iOS. Mostramos como criar um grupo do Telegram no iphone, como adicionar membros, acessar o histórico do chat e muito mais.",https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
Como criar um canal do Telegram no Android,12,Veja como criar um canal público o privado do Telegram no Android. Confira também como se inscrever em um canal público do Telegram.,https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
Como criar um canal do Telegram no iOS,13,"Como criar um canal do Telegram usando iPhone. Veja como criar canais públicos e privados do Telegram em poucos minutos, usando um iPhone ou iPad.",https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
O que são e para servem os bots do Telegram,14,"Entenda o que são os bots do Telegram,  veja o que fazem os bots e  confira exemplos de tarefas os bots do Telegram podem executar.",https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
Como usar os bots do Telegram,15,"Veja como usar os bots do Telegram. Aqui mostramos como buscar um bot no Telegram e como usá-lo. Confira como encontrar bots de games do Telegram, entre outros.",https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
Teste Final,16,Teste os conhecimentos adquiridos no curso.,https://edu.gcfglobal.org//pt/como-usar-o-telegram/,Portugues,como-usar-o-telegram
