nombre,numero,descripcion,url,idioma,topico
A velocidade do obturador,1,"A velocidade do obturador ou tempo de exposição, regula a quantidade de luz que entra no sensor da câmera. Aprenda mais sobre este tema para tirar fotos bem profissionais.",https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
A profundidade de campo,2,"A profundidade de campo na fotografia nos permite controlar a nitidez por meio do diafragma, da distância focal e da distância focal da lente ou zoom.",https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
Sensibilidade ISO,3,A sensibilidade ISO da fotografia pode aumentar ou reduzir a sensibilidade do sensor da câmera que captura a luz.,https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
O que é a distância focal ou zoom,4,Nesta página explicamos o que é a distância focal ou zoom e como esse parâmetro afeta a fotografia. Também apresentamos os principais tipos de lentes ou objetivas existentes e explicamos seus principais usos na fotografia.,https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
Como encontrar a exposição ou luz correta na fotografia,5,Como encontrar a luz ideal para conseguir fotografias perfeitas? Aqui mostramos como a exposição à luz influencia a qualidade das fotografias e como você pode ajustar sua câmera para compensar a ausência ou o excesso de luz.,https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
O que é o balance de brancos na fotografia,6,Quer saber como dar um toque pessoal às suas fotografias? Aqui explicamos o que é o balance de brancos e como você pode utilizá-lo para conseguir fotos muito mais chamativas e que transmitam a sensação que você quer comunicar.,https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
Como ter nitidez na fotografia?,7,"Aqui explicamos como ter nitidez na fotografia controlando todos os fatores que podem influenciá-la como o foco, a velocidade de obturação e a sensibilidade ISO.",https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
O que é composição fotográfica e quais suas regras,8,Conhecer os diferentes tipos de composição fotográfica permite que você destaque os elementos mais importantes em uma fotografia e possa transmitir sua mensagem por meio dela. Aqui apresentamos diferentes regras para que você possa utilizá-las de acordo a sua intenção com cada fotografia.,https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
Quais são os planos fotográficos em relação ao protagonista da imagem,9,"Conheça os planos fotográficos e veja como enquadrar o protagonista da sua imagem, dando um resultado profissional  às suas fotos, de acordo à intenção da sua fotografia. ",https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
Quais são os planos fotográficos de acordo ao ângulo da câmera,10,Quais são os planos fotográficos de acordo ao ângulo da câmera e como utilizá-los de acordo à intenção da fotografia.,https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
Quais são as partes de uma câmera fotográfica,11,"Apresentamos as principais partes de uma câmera v, seus botões e respectivas funcionalidades e também as partes internas da câmera, responsáveis por criar cada fotografia.",https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
O que é o sensor de uma câmera fotográfica,12,"Apresentamos o que é o sensor da câmera fotográfica, como funciona, seus diferentes tipos e como afetam o resultado final da fotografia.",https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
Quais são as câmeras fotográficas compactas e suas indicações,13,Apresentamos quais são as câmeras compactas e suas principais características e indicações.,https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
Quais são as câmeras fotográficas reflex e quando comprá-las,14,"Aqui explicamos quais são as câmeras fotográficas tipo reflex, suas principais características e para que tipo de fotos e situações elas são mais indicadas.",https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
Quais são as câmeras sem espelho ou mirrorless e quando comprá-las,15,"Quais são as câmeras mirrorless ou sem espelho, suas principais características e em que situações são indicadas.",https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
Teste Final | Fotografia Digital,16,Teste os conhecimentos adquiridos no curso de Fotografia Digital.,https://edu.gcfglobal.org//pt/curso-de-fotografia-digital/,Portugues,curso-de-fotografia-digital
