nombre,numero,descripcion,url,idioma,topico
O que é segurança na internet?,1,Conheça e entenda o conceito de Segurança na internet e como isso deve ser importante para nos protegermos na hora de usar a internet.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
O que é cyberbullying e como evitá-lo?,2,Veja o que fazer para evitar o cyberbullying e como identificar esta pratica que está cada vez mais comum.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
O que é stalking?,3,Veja o que significa este termo e fazer para evitar esta prática.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
O que é sexting?,4,Conheça os problemas que esta prática pode gerar.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
A engenharia social,5,Aprenda o que é esta prática e porque sua informação pessoal pode estar em risco.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Senhas: o primeiro passo para a segurança,6,Saiba quais itens devem ter uma senha para que ela seja mais segura.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Proteja seu computador de ameaças na internet,7,"Saiba que tipos de ameaças podem receber seu computador e como evitá-las.
",https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Esteja seguro enquanto navega,8,"Saiba como se manter seguro contra as ameaças da Internet quando você navega.
",https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Transações financeiras seguras na internet,9,"Aprenda a fazer transferências, pagamentos ou qualquer processo bancário com a segurança on-line,
",https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Segurança nas redes wifi,10,Muitas pessoas se conectam através de muitas redes Wi-Fi sem saber que podem comprometer suas aparelhos.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Segurança com aparelhos móveis,11,"Com o crescimento da tecnologia, muitas pessoas já têm um smartphone. Saiba como mantê-lo seguro.
",https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Fraudes e spam no e-mail,12,"Saiba quais métodos usados pelos cibercriminosos no e-mail.
",https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Como usar as redes sociais de forma segura,13,"Saiba como controlar suas redes sociais e assim se manter seguro na internet.
",https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Baixar e compartilhar arquivos com segurança,14,Saiba como compartilhar um documento ou foto sem correr riscos.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Dicas de proteção de menores na internet,15,Veja o que fazer para que seus filhos naveguem seguros na internet.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Conselhos para crianças navegarem na internet,16,"Se você é menor de idade e quer saber como ficar protegido, siga estas recomendações.",https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Cuidado com o grooming,17,Saiba o que é essa prática e o quanto ela é perigosa para as crianças.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
O que é controle parental?,18,Saiba mais sobre esta importante ferramenta para evitar riscos das crianças na Internet.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Controle parental no Windows,19,Saiba como configurar esta ferramenta no seu computador com sistema operacional Windows.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Controle parental no Mac OS X,20,Saiba como configurar o sistema de controle parental no seu computador Apple.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Controle parental em celulares Android,21,Configure seu computador para que as crianças o usem corretamente.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Controle parental em equipamentos iOS,22,Controle o que seus filhos fazem em dispositivos móveis da Apple.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
Controle parental no Youtube,23,Saiba como configurar sua conta do YouTube para que as crianças não assistam vídeos inadequados para a sua idade.,https://edu.gcfglobal.org//pt/seguranca-na-internet/,Portugues,seguranca-na-internet
