nombre,numero,descripcion,url,idioma,topico
Superfície e volume de um corpo,1,"Para entender o que é o elemento corpo, devemos conhecer algumas das suas características.",https://edu.gcfglobal.org//pt/conceitos-basicos-da-matematica/,Portugues,conceitos-basicos-da-matematica
Massa e densidade de um corpo,2,"Veja do que estão compostos os corpos, ou seja, sua massa e densidade.",https://edu.gcfglobal.org//pt/conceitos-basicos-da-matematica/,Portugues,conceitos-basicos-da-matematica
O peso de um corpo,3,"Entenda o conceito de peso e o de densidade, e perceba porque eles estão totalmente presentes em nossa vida.",https://edu.gcfglobal.org//pt/conceitos-basicos-da-matematica/,Portugues,conceitos-basicos-da-matematica
Como usar os algarismos romanos?,4,Aprenda a usar e a escrever corretamente os algarismos romanos.,https://edu.gcfglobal.org//pt/conceitos-basicos-da-matematica/,Portugues,conceitos-basicos-da-matematica
Truque para multiplicar por 5,5,Aprenda um método muito fácil para multiplicar por 5.,https://edu.gcfglobal.org//pt/conceitos-basicos-da-matematica/,Portugues,conceitos-basicos-da-matematica
Representando conjuntos matemáticos,6,Uma maneira fácil de entender os conjuntos é por meio de sua representação gráfica.,https://edu.gcfglobal.org//pt/conceitos-basicos-da-matematica/,Portugues,conceitos-basicos-da-matematica
Encontre o máximo divisor comum,7,Aprenda a encontrar o Máximo Divisor Comum (MDC) de uma forma simples e rápida.,https://edu.gcfglobal.org//pt/conceitos-basicos-da-matematica/,Portugues,conceitos-basicos-da-matematica
Como tirar o mínimo múltiplo comum ou MMC,8,Veja como encontrar rapidamente o Mínimo Múltiplo Comum (MMC).,https://edu.gcfglobal.org//pt/conceitos-basicos-da-matematica/,Portugues,conceitos-basicos-da-matematica
A Jóia dourada da Matemática,9,Uma das relações mais surpreendentes entre a matemática e o mundo natural é o número de ouro.,https://edu.gcfglobal.org//pt/conceitos-basicos-da-matematica/,Portugues,conceitos-basicos-da-matematica
Breve história dos números I,10,Você tem ideia de como surgiram os números? Dê uma olhada aqui nesta página.,https://edu.gcfglobal.org//pt/conceitos-basicos-da-matematica/,Portugues,conceitos-basicos-da-matematica
Breve história dos números II,11,Conheça um pouco da matemática grega e de um dos seus personagens mais significativos: Pitágoras.,https://edu.gcfglobal.org//pt/conceitos-basicos-da-matematica/,Portugues,conceitos-basicos-da-matematica
Breve história dos números III,12,Conheça aqui um pouco mais sobre os números romanos.,https://edu.gcfglobal.org//pt/conceitos-basicos-da-matematica/,Portugues,conceitos-basicos-da-matematica
Breve história dos números IV,13,Aprenda de onde vêm os números que usamos hoje.,https://edu.gcfglobal.org//pt/conceitos-basicos-da-matematica/,Portugues,conceitos-basicos-da-matematica
O que é ansiedade matemática?,14,"Algumas vezes a matemática pode provocar medo e angústia, mas nesta página mostraremos como superar esses sentimento e ser cada vez melhor em matemática.",https://edu.gcfglobal.org//pt/conceitos-basicos-da-matematica/,Portugues,conceitos-basicos-da-matematica
