nombre,numero,descripcion,url,idioma,topico
Seja bem-vindo ao Word 2010,1,"Seja bem-vindo ao curso da Microsoft Word 2010. Aqui você encontrará várias lições de como usar esta importante ferramenta. 
",https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Algumas partes da interface do Word 2010,2,"Nesta página você saberá para que serve o Word 2010, conhecerá a sua interface e como criar um novo documento em branco.",https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
A régua e as formas de visualização,3,"Veja aqui como funciona a régua e as formas de pré visualização no word 2010
",https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Funções da vista Backstage no Word 2010,4,Nesta página você conhecerá as funções do modo de exibição backstage do Word 2010.,https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Criar um novo documento no Word 2010,5,Nesta página você aprenderá a criar um novo documento no Word 2010.,https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Formatar textos no Word 2010,6,"Nesta página você aprenderá como formatar um texto. Além disso, como inserir e apagar textos.",https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Alterar o tipo de fonte e tamanho,7,"Aqui você verá que o Word 2010 possui ferramentas para alterar o tipo, tamanho e cor da fonte para que a aparência fique mais interessante. Também aprenderá como ressaltar as coisas que você acha mais importante.",https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Alterar a cor da letra e ressaltar o texto,8,Nesta página você aprenderá a trocar a cor da letra no word 2010 e a ressaltar uma parte do texto.,https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Formatar texto no Word 2010,9,"Nesta página você encontrará os passos para usar os comandos Negrito, itálico e sublinhado no Word 2010. Além disso, como mudar o texto para maiúsculos e como alinhá-los.",https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Salvar e recuperar arquivos no Word 2010,10,Nesta página você encontrará as instruções para salvar e recuperar arquivos no word 2010.,https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Recuperação de arquivos no Word 2010,11,Aqui você encontrará os passos para recuperar os arquivos do Word 2010.,https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Configurar páginas no Word 2010,12,"Nesta lição você encontrará os passos para configurar uma página no Word 2010. Quando terminar, poderá alterar a orientação e o tamanho das páginas.",https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Alterar as margens no Word 2010.,13,Aqui você encontrará os passos para alterar as margens no Word 2010 manualmente ou por meio da caixa de diálogo Configurar página.,https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Caixa de diálogo para configurar página,14,Esta página contem as instruções para configurar a página no Word 2010 usando a caixa de diálogo Configurar página.,https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Revisão ortográfica,15,Aqui você encontrará os passos que devem ser seguidos para corrigir os erros ortográficos identificados pelo Word 2010 quando você estiver criando os seus textos.,https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Corrigir erros gramaticais,16,Nesta página estão as instruções para corrigir os erros gramaticais no word 2010.,https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Configuração ortográfica e gramatical,17,Nesta página você encontrará as instruções para a configuração automática da ortografia e da gramática no word 2010.,https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Como imprimir documentos com o Word 2010,18,Nesta página aprenderemos a imprimir arquivos no word 2010.,https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Recuo e tabulação,19,Esta página contem as instruções para aplicar recuos e tabulações ao texto.,https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
Aplicar recuo usando comandos,20,Nesta página você aprenderá a aplicar recuo usando os comandos.,https://edu.gcfglobal.org//pt/microsoft-word-2010/,Portugues,microsoft-word-2010
