nombre,numero,descripcion,url,idioma,topico
O que é o WhatsApp Business?,1,Saiba o que é WhatsApp Business e para que você pode usar este aplicativo para enviar mensagens. ,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
Qual é a diferença entre WhatsApp e WhatsApp Business?,2,Veja quais são as principais diferenças entre o WhatsApp e o WhatsApp Business. Confira como funciona a configuração de mensagens automáticas e outras funções.,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
Como baixar e configurar o WhatsApp Business no iOS,3,Como baixar e configurar o WhatsApp Business em dispositivos móveis com sistema iOS.,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
Como baixar e configurar o WhatsApp Business no Android,4,Como baixar e configurar o WhatsApp Business em dispositivos móveis com sistema Android.,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
Como configurar as notificações do WhatsApp Business?,5,Nesta página você aprenderá a configurar as notificações do seu aplicativo WhatsApp Business e assim ficar atento às mensagens e ligações de seus clientes e contatos.,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
O que são respostas rápidas no WhatsApp Business?,6,Descubra quais são as respostas rápidas no WhatsApp Business e quais recursos eles têm.,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
Como configurar respostas rápidas no Android?,7,Aprenda a configurar respostas rápidas do WhatsApp Business em seu dispositivo Android e responder a todas as mensagens de seus clientes em menos tempo.,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
Como configurar respostas rápidas no iOS?,8,Aprenda a configurar respostas rápidas do WhatsApp Business em seu dispositivo iOS para responder aos seus clientes no menor tempo possível.,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
Como enviar uma mensagem em massa no WhatsApp Business?,9,No WhatsApp Business você pode enviar mensagens em massa através de uma lista de distribuição com facilidade e rapidez. Aprenda nesta página como fazer.,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
Como criar um catálogo digital no WhatsApp Business?,10,Quer aprender a criar um catálogo de seus produtos e / ou serviços através do WhatsApp Business? Aprenda passo a passo como fazer isso conosco:,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
O que são Bots no WhatsApp Business?,11,Saiba o que é um bot no WhatsApp Business e o que ele usa para sua conta comercial.,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
Como configurar ChatBots no WhatsApp Business?,12,Nesta página você aprenderá a configurar os chatbots que o WhatsApp Business possui. Uma ferramenta muito útil para atender seus clientes mesmo quando você está ocupado.,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
As etiquetas do WhatsApp Business,13,"Aprenda a usar as etiquetas do WhatsApp Business para organizar sua conversas em grupo, facilitando a pesquisa.",https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
Como criar status no WhatsApp Business?,14,Quer saber como fazer upload de um status no WhatsApp de sua empresa? Continue lendo!,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
Como ver as estatísticas do seu WhatsApp Business?,15,Aprenda como ver as estatísticas e a eficácia das mensagens que você envia para seus contatos e clientes no WhatsApp Business.,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
Teste Final,16,Teste os conhecimentos adquiridos neste curso. Quais as funções oferecidas pelo WhatsApp Business? Para que servem as respostas rápidas do WhatsApp Business?,https://edu.gcfglobal.org//pt/whatsapp-business/,Portugues,whatsapp-business
