nombre,numero,descripcion,url,idioma,topico
O que é o sistema Android,1,Com esta infografia mostramos a história do Android que é o sistema operacional da Google.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Configuração inicial do Android,2,"Neste página ensinaremos como fazer a configuração inicial de um aparelho com sistema operacional Android, incluindo como criar uma conta Google.",https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Botões de navegação do Android,3,Veja como funcionam os botões da barra de navegação do Android.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Interface do Android,4,Nesta página lhe mostraremos como é a interface do Android e como usá-la.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Como atualizar a versão do Android,5,"Se quiser saber como atualizar a versão do Android do seu aparelho, esta página vai lhe ajudar muito.",https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Como organizar os aplicativos no Android,6,Veja como organizar os aplicativos no Android e como criar pastas de aplicativos.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Como personalizar seu Android,7,Aprende a mudar o papel de parede e os toques de um celular ou tablet Android.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Trocar o idioma de um aparelho Android,8,Veja como mudar o idioma de um dispositivo com sistema operacional Android.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Restaurar um aparelho com padrões de fábrica,9,Veja como restaurar os padrões de fábrica em um aparelho Android para deixá-lo como no primeiro dia.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Telefone com Android,10,Veja como fazer ligações usando um smartphone com sistema operacional Android.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Como dar um telefonema e adicionar um contato,11,Nesta página lhe mostraremos como fazer chamadas com seu telefono Android e como adicionar um contacto,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Como enviar mensagens de texto,12,Você sabe como enviar uma mensagem de texto usando um smartphone Android?,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
O que é e como usar a Google Play Store,13,Você sabes como usar a Google Play Store no seu aparelho Android?,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Como baixar um aplicativo,14,Veja como baixar um aplicativo da Google Play Store.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Como excluir um aplicativo,15,Você quer saber como excluir um aplicativo no Android? Veja aqui nesta página.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
O que é e como usar um Widget?,16,Veja o que é um widget no Android e como usá-lo.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Aplicativos da Google,17,Veja os principais aplicativos de serviços da Google.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
O Google Now do Android,18,"Aprenda a usar o Google Now, o assistente pessoal do Android.",https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Como conectar um Android a uma rede Wi-Fi,19,Veja como se conectar seu celular com sistema operacional Android à uma rede Wi-Fi,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Navegadores para Android,20,Como navegar na internet usando aparelho com sistema operacional Android? Veja aqui nesta página.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Como navegar com o Chrome,21,Aprende a navegar com várias guias no Google Chrome.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Ancoragem e Roteador Wi-fi,22,Com seu aparelho Android podes criar um roteador Wi-Fi portátil para conectar qualquer dispositivo à internet.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Compartilhar a internet de um Android para um PC,23,Se seu celular tem um plano de dados pode compartilhar sua internet com outro computador. A seguir lhe mostramos passo a passo.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Controlar o uso de dados móveis no Android,24,O Android pode lhe ajudar a controlar o uso dos dados móveis. Veja como funciona.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
O que é uma conta Google?,25,Você sabe o que é uma conta Google e quais são suas funções?,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Sincronizar contatos no Android,26,Você pode sincronizar os contatos no seu telefone ou tablet com SO Android com sua conta Google. Aqui lhe mostraremos como proceder.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Como adicionar uma conta,27,Veja como adicionar uma conta num aparelho Android.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Como eliminar contas no Android,28,Veja como eliminar as contas adicionadas no Android.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Opções de sincronização,29,Quando iniciamos sessão com uma conta Google em seu aparelho pode escolher o que sincronizar.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Como bloquear a tela no Android,30,Você sabe como bloquear a tela de um aparelho Android? Nesta página lhe mostraremos.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
Como fazer um Backup,31,Veja como fazer um backup do seu dispositivo com sistema operacional Android.,https://edu.gcfglobal.org//pt/como-usar-o-sistema-android/,Portugues,como-usar-o-sistema-android
