nombre,numero,descripcion,url,idioma,topico
O que é internet?,1,"A Internet foi criada para que pudéssemos aproveitar melhor nossos computadores. Veja aqui como foi o começo dessa invenção que revolucionou o mundo, assim como a diferença entre as redes WAN e LAN.",https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Como a internet funciona?,2,"Aqui você aprenderá como funciona a internet e qual é o processo usando para acessar um site. Veja também os conceitos de Endereço IP, URL e Navegador.",https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
O que é a velocidade de Internet?,3,Qual é a velocidade da sua internet? Descubra o que é e como medir sua velocidade de navegação bem como as de download e de upload.,https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Para que você pode usar a internet?,4,"Veja como quais são as diferentes maneira de usar a internet, para que ela pode ser útil e quais ferramentas permitem estabelecer comunicações através dela.",https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Aprender usando a internet,5,"Veja como, estando na internet, você pode aprender, estudar e procurar trabalho.",https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Outras utilidades da internet,6,"Aprenda e conheça outros benefícios que você pode ter ao usar a internet, como por exemplo, ver vídeos, entrar em redes sociais e conhecer pessoas diferentes.",https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Como você pode fazer parte da internet?,7,É legal saber como você pode participar de forma ativa da internet. Veja essas possibilidades de fazer parte da rede.,https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
O que eu preciso para me conectar à Internet?,8,"nesta página você encontrará quais são e para o que servem as ferramentas que você precisa para conectar à internet?
",https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Como usar o computador para conectar à internet?,9,"Nesta página você encontrará os passos que deve seguir para conectar à Internet desde o 
computador
",https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Como conectar à internet sem fio?,10,"Nesta página você encontrará que elementos você precisa para conectar à internet sem fio.
",https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Como conectar à internet sem fio,11,Nesta página você encontrará os passos que deve seguir para conectar à internet sem fio ou Wi-Fi.,https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Conectar à internet com um modem USB,12,Nesta página você vai encontrar as ferramentas que você deve ter para poder conectar à internet por meio de um modem USB.,https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Como conectar à internet com um modem 3G?,13,Nesta página você encontrará os passos que deve seguir para conectar à internet por meio de um modem.,https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Internet nos dispositivos móveis.,14,Nesta página você conhecerá os passos que você deves seguir para conectar à internet por meio dos seus dispositivos móveis.,https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Dispositivos com sistema operacional Android,15,Nesta página você encontrará como conectar à internet por meio de um dispositivo com sistema operacional Android.,https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
O que é um navegador,16,Nesta página você encontrará a definição do que é um navegador.,https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Os navegadores mais comuns,17,Nesta página você encontrará a descrição dos navegadores mais comuns.,https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Como é a interface de um navegador?,18,Nesta página você saberá para o que serve cada uma das partes pelas quais está composto um navegador.,https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
O que é um buscador de internet?,19,Nesta página você verá no que consiste os buscadores da internet.,https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Como realizar uma busca na internet?,20,Nesta página você encontrará os passos para realizar buscas na internet por meio de um buscador.,https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Sugestões para buscas eficazes,21,Nesta página você encontrará algumas sugestões para avaliar os resultados das buscas na internet.,https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
Buscas eficazes na internet,22,Nesta página você encontrará mais sugestões para realizar buscas eficazes na internet.,https://edu.gcfglobal.org//pt/como-usar-a-internet/,Portugues,como-usar-a-internet
