nombre,numero,descripcion,url,idioma,topico
O que é um blog?,1,Nesta página você encontrará a definição de blog e para que serve esta valiosa ferramenta.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
E quem são os blogueiros?,2,"Veja porque para ser blogueiro não precisa ter um público específico nem uma idade única, e que você também pode criar um blog para expressar o que você quiser.",https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
O que é possível escrever num blog?,3,Aqui lhe damos alguns conselhos e sugestões sobre temas para escrever num blog.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Escolher um tema para seu blog,4,Você sabe como escolher temas para o seu blog?,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
De quanto em quanto tempo publicar no blog?,5,Separamos algumas recomendações para que você possa fazer suas publicações no seu blog.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Como apresentar seu blog?,6,Observe estas recomendações para desenhar ou dar um nome para o seu blog.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Abrir uma conta no Blogger,7,Estes são os passos necessários para abrir uma conta no Blogger.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Como criar um blog com Blogger?,8,Aqui mostramos passo a passo como criar um blog usando o Blogger.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Faça seu primeiro artigo com o Blogger,9,Saiba como criar artigos no seu novo blog Blogger.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Criar uma conta no WordPress,10,Nesta página você encontrará os passos para criar uma conta no WordPress.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Publicar um artigo no WordPress,11,Conheça todas as ferramentas necessárias para escrever um artigo no seu blog da WordPress.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Como escrever os artigos do seu blog?,12,Veja algumas dicas para escrever um artigo muito bem estruturado no seu blog.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Conecte-se com uma comunidade de blogueiros,13,Conecte-se com outras comunidades de blogueiros.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Faça com que seu blog seja fácil de ser encontrado,14,Como fazer com que seu blog seja fácil de ser encontrado pelos buscadores?,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Como conseguir conteúdos para seu blog,15,"Nesta página você encontrará várias formas de conseguir imagens, ilustrações, infográficos e animações que podem fazer do seu blog um lugar interessante e divertido.",https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Material Creative Commons e em Domínio Público,16,Identifique quais são os materiais Creative Commons e os que estão em domínio público.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Usar material protegido com direitos de autor,17,"Se você quiser usar conteúdos com direitos de autor, é bom seguir essas recomendações.",https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Proteja sua propriedade intelectual,18,É muito importante saber como proteger o conteúdo do seu blog.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Como administrar bem seu blog?,19,Encontre alguns conselhos para que seu blog tenha bastante sucesso.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
Espaçamento e formatação do blog,20,Nesta página você encontrará as características que você deve aplicar na hora de montar seu blog.,https://edu.gcfglobal.org//pt/como-criar-um-blog/,Portugues,como-criar-um-blog
