nombre,numero,descripcion,url,idioma,topico
Distribuindo em partes iguais,1,"Nesta página você aprenderá o que significa dividir, como representar a divisão e quais são suas partes.",https://edu.gcfglobal.org//pt/divisao/,Portugues,divisao
Quantas vezes?,2,Para aprender a dividir é necessário saber quantas vezes uma quantidade está contida em outra. Aprenda como fazer isso aqui.,https://edu.gcfglobal.org//pt/divisao/,Portugues,divisao
Dividir entre números de um só dígito,3,Aprenda a fazer divisões por números de um único dígito.,https://edu.gcfglobal.org//pt/divisao/,Portugues,divisao
Dividir por números de dois ou mais dígitos,4,Veja como o processo de dividir números de dois ou mais dígitos é simples.,https://edu.gcfglobal.org//pt/divisao/,Portugues,divisao
O processo da divisão,5,Tire aqui todas as possíveis dúvidas que você tem sobre a divisão.,https://edu.gcfglobal.org//pt/divisao/,Portugues,divisao
Erros comuns quando fazemos divisões,6,Alguns erros são comuns na hora de fazer divisões. Aqui nesta página lhe mostramos como evitá-los.,https://edu.gcfglobal.org//pt/divisao/,Portugues,divisao
Problemas que podemos resolver com divisão,7,Aprenda a usar a divisão para resolver problemas do dia a dia.,https://edu.gcfglobal.org//pt/divisao/,Portugues,divisao
Propriedades da divisão parte I,8,"Saiba quais propriedades podem ou não ser usadas na divisão, assim você terá um melhor controle sobre ela.",https://edu.gcfglobal.org//pt/divisao/,Portugues,divisao
Propriedades da divisão parte II,9,"Se você quer saber qual é a relação entre a multiplicação e a divisão ou porque não é possível dividir por zero, veja com atenção essa página.",https://edu.gcfglobal.org//pt/divisao/,Portugues,divisao
Prioridade da divisão sobre a adição e a subtração,10,"A divisão, assim como a multiplicação, tem prioridade sobre a adição e subtração. Saiba como resolver as operações combinadas.",https://edu.gcfglobal.org//pt/divisao/,Portugues,divisao
Divisão de números positivos e negativos,11,Aprenda a fazer divisões que envolvem números positivos e negativos.,https://edu.gcfglobal.org//pt/divisao/,Portugues,divisao
Usando divisões com sinais,12,Veja como interpretar e resolver problemas usando divisão de números negativos.,https://edu.gcfglobal.org//pt/divisao/,Portugues,divisao
