name,link,unit,unitLink,content
Contar números pequeños,/math/cc-kindergarten-math/cc-kindergarten-counting/kindergarten-counting/v/counting-with-small-numbers,Conteo y valor posicional,/math/cc-kindergarten-math/cc-kindergarten-counting,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Números del 0 al 100,/math/cc-kindergarten-math/cc-kindergarten-counting/kindergarten-numbers-100/e/count-from-any-number,Conteo y valor posicional,/math/cc-kindergarten-math/cc-kindergarten-counting,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Contar objetos,/math/cc-kindergarten-math/cc-kindergarten-counting/kindergarten-count-object-topic/v/counting-in-scenes,Conteo y valor posicional,/math/cc-kindergarten-math/cc-kindergarten-counting,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Comparar números pequeños,/math/cc-kindergarten-math/cc-kindergarten-counting/kindergarten-comparing-numbers/v/comparing-groups-through-10-example,Conteo y valor posicional,/math/cc-kindergarten-math/cc-kindergarten-counting,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Números entre 10 y 19,/math/cc-kindergarten-math/cc-kindergarten-counting/kindergarten-teens/v/teens-and-ten,Conteo y valor posicional,/math/cc-kindergarten-math/cc-kindergarten-counting,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
¿Qué es la suma? ¿Qué es la resta?,/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-add-sub-intro/v/addition-introduction,Sumas y restas,/math/cc-kindergarten-math/cc-kindergarten-add-subtract,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Hacer números pequeños,/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-make-10/v/making-5,Sumas y restas,/math/cc-kindergarten-math/cc-kindergarten-add-subtract,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Hacer 10,/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-making-5-9/v/getting-to-10-by-filling-boxes,Sumas y restas,/math/cc-kindergarten-math/cc-kindergarten-add-subtract,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
"Junta, separa",/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-together-apart/v/adding-fruit,Sumas y restas,/math/cc-kindergarten-math/cc-kindergarten-add-subtract,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
Problemas verbales de sumas y restas,/math/cc-kindergarten-math/cc-kindergarten-add-subtract/kindergarten-add-sub-word-problem-within-10/v/addition-word-problems-within-10,Sumas y restas,/math/cc-kindergarten-math/cc-kindergarten-add-subtract,"BuscarHaz una donaciónInicia sesiónRegístrateBusca cursos, habilidades y videosIr a la página principal de Khan Academyenvíanos un reporteHaz una donaciónhazte voluntarioAcerca deNoticiasImpactoNuestro equipoNuestros pasantesNuestros especialistas en contenidoNuestro liderazgoNuestros patrocinadoresNuestros colaboradoresNuestras finanzasBolsa de trabajoPasantíasCentro de ayudaComunidad de apoyoComparte tu historiaPrensaApp para iOSApp para AndroidAmerican Sign LanguageAzərbaycancaBahasa IndonesiačeštinadanskDeutschEnglishespañolfrançaisitalianolatviešulietuviųmagyarNederlandsnorsk bokmålOʻzbekpolskiportuguêsportuguês (Portugal)românăsvenskaTiếng ViệtTürkçeΕλληνικάбългарскиКыргызқазақ тілімонголрусскийСрпскиქართულიհայերենमराठीहिन्दीঅসমীয়াবাংলাਪੰਜਾਬੀગુજરાતીதமிழ்ಕನ್ನಡဗမာខ្មែរ한국어中文 (简体中文)日本語EE.UU.IndiaMéxicoBrasilTérminos de usoPolítica de privacidadAviso de cookies"
