nombre,numero,descripcion,url,idioma,topico
Enigma: A matemática e a guerra,1,Você sabe como a matemática foi usada para ganhar a Segunda Guerra Mundial? Aqui neste artigo lhe co,https://edu.gcfglobal.org//pt/usando-a-matematica/,Portugues,usando-a-matematica
As coordenadas geográficas,2,Aqui você verá o que é o sistema de coordenadas geográficas e como é usado.,https://edu.gcfglobal.org//pt/usando-a-matematica/,Portugues,usando-a-matematica
A coroa do rei e a banheira de Arquimedes,3,Há muito tempo um homem muito inteligente enfrentou um grande desafio: definir se a coroa do rei...,https://edu.gcfglobal.org//pt/usando-a-matematica/,Portugues,usando-a-matematica
Por que existem as estações do ano?,4,Você já quis saber porque existem as estações do ano? Veja neste artigo a resposta.,https://edu.gcfglobal.org//pt/usando-a-matematica/,Portugues,usando-a-matematica
A lua: Suas fases e eclipses,5,"Se a lua faz um giro ao redor da terra em 28 dias, por que não temos um eclipse a cada duas semanas
",https://edu.gcfglobal.org//pt/usando-a-matematica/,Portugues,usando-a-matematica
"Lua, a força que move as marés",6,Você já observou que sempre vemos o mesmo lado da Lua? Mas o que isso tem a ver com as marés?,https://edu.gcfglobal.org//pt/usando-a-matematica/,Portugues,usando-a-matematica
Os números binários,7,Um número binário é uma representação alternativa de um número usando apenas dois símbolos.,https://edu.gcfglobal.org//pt/usando-a-matematica/,Portugues,usando-a-matematica
Como Eratóstenes mediu o tamanho da terra,8,"Há dois mil anos atrás, um homem mediu a circunferência da Terra com um truque matemático bem simple",https://edu.gcfglobal.org//pt/usando-a-matematica/,Portugues,usando-a-matematica
Mas e se o sol fosse...,9,Você já pensou no nosso sistema solar fazendo comparações curiosas e interessantes?,https://edu.gcfglobal.org//pt/usando-a-matematica/,Portugues,usando-a-matematica
Por que existe o sistema internacional de medidas?,10,Atualmente todo o mundo usa um único sistema de medidas. Saiba como é e porque ele foi desenvolvido.,https://edu.gcfglobal.org//pt/usando-a-matematica/,Portugues,usando-a-matematica
Você sabe o que é um ano luz?,11,Você pode imaginar a grandiosidade deste nosso universo?  Veja neste artigo o que é um ano luz.,https://edu.gcfglobal.org//pt/usando-a-matematica/,Portugues,usando-a-matematica
