nombre,numero,descripcion,url,idioma,topico
História do Twitter,1,Descubra um pouco sobre como este serviço foi criado foi criado.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Para que serve o Twitter,2,Conheça as formas de usar esta rede social e seus principais termos.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como criar uma conta no Twitter,3,"Se você quiser entrar no Twitter, será necessário aprender a criar uma conta. Vejamos como fazer:",https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como editar o perfil do Twitter,4,Crie seu próprio estilo de perfil no Twitter e consiga mais seguidores.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como mudar a apresentação do seu Twitter,5,Aprende a pôr um estilo no seu Twitter personalizando seu perfil.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como mudar a senha do Twitter,6,Alterar a senha do Twitter é muito simples. Veja como fazer.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como configurar a conta do Twitter,7,Aprende a apagar ou desabilitar sua conta caso não queira seguir com esta rede social.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Segurança e privacidade da conta,8,Cuide dos seus dados e configure sua privacidade nesta rede social.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Configurar as notificações recebidas por e-mail,9,Configura as notificações que você quer que cheguem por e-mail.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como funciona a página inicial,10,Conheça o funcionamento da página inicial do Twitter e como ela está composta.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
O que é um Painel de notificações,11,Aprenda a visualizar as notificações da sua conta do Twitter.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
O que é a Caixa de mensagens,12,"Se você não quer que qualquer pessoa leia o que você manda para alguém no Twitter, use uma mensagem direta.
",https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
O que são os Assuntos do Momento no Twitter,13,"Veja quando um tema é considerado tendência na rede social.
",https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como fazer buscas no Twitter,14,"Se você quer saber se estão falando sobre algum tema, veja como fazer a busca no Twitter.
",https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Outras ferramentas para administrar seu Twitter,15,"Use outras plataformas para administrar sua conta do Twitter.
",https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como seguir uma conta do Twitter,16,Aprender a seguir um usuário é muito útil se você quiser receber suas publicações.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como ver seus seguidores e as pessoas que lhe seguem,17,"É muito fácil saber quais pessoas estão atentas a suas publicações.
",https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como importar contatos do e-mail para o Twitter,18,"No Twitter você pode buscar os contatos que você tem no seu email para poder segui-los.
",https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Quais são as contas mais populares?,19,Aprenda a reconhecer quando a conta é a oficial da pessoa que você quer seguir.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como parar de seguir alguém,20,"Aprenda a parar de seguir alguém que ainda aparece na sua linha do tempo.
",https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como bloquear um usuário,21,Aprenda a bloquear os usuários que você não quer que te sigam.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Silenciar usuários no Twitter,22,Aprende a silenciar os usuários que você não quer que apareçam na sua linha do tempo.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como criar listas no Twitter,23,Uma lista é um grupo que você pode criar no Twitter para seguir as publicações.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como publicar um Tweet,24,Aprenda a enviar suas publicações través de Twitter.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como inserir uma imagem num Tweet,25,Inserir imagens ou a localização num tweet.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como fazer uma menção e responder um Tweet,26,Aprenda a responder os tweets de outros usuários o a mencioná-los nos tweets.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como por favorito e Retweetar,27,Compartilhe as publicações de outros usuários na sua linha do tempo com a função retweetar.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como publicar links no Twitter,28,"Se você quiser compartilhar um site no Twitter é possível.

",https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
O aplicativo do Twitter em móveis,29,Veja como funciona o aplicativo em aparelhos iOs e Android.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como incluir mais contas no seu aplicativo,30,"Conheça o aplicativo que você pode baixar no seu celular para estar sempre conectado com a rede social.
",https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Como compartilhar sua localização,31,Aprenda a compartilhar o lugar onde você está no Twitter.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Tirar uma foto e compartilhar no Twitter,32,Capture momentos usando seu celular e compartilhe através desta rede social.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
Gravar vídeos com seu celular no Twitter,33,Grave e compartilhe vídeos nesta rede social com seu celular.,https://edu.gcfglobal.org//pt/como-usar-o-twitter/,Portugues,como-usar-o-twitter
