nombre,numero,descripcion,url,idioma,topico
O que é um correio eletrônico?,1,"Nesta página você aprenderá o conceito de um correio eletrônico, no que consiste e o que é necessário para usar o correio eletrônico.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Como funciona um correio eletrônico?,2,"Aqui você verá como funciona um correio eletrônico.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Diferença entre correio eletrônico e página web,3,"Nesta página explicaremos a diferença entre um e-mail eletrônico e uma página web.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Características dos correios eletrônicos,4,"Descrição dos principais provedores de correio eletrônico, como funciona a caixa de entrada e como administrar as mensagens.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Administrador de mensagens,5,"Descrição das ferramentas de administração de mensagens de um correio eletrônico.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Painel esquerdo de opções,6,"Descrição das diferenças entre as opções ou ferramentas de cada provedor de correio eletrônico.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Chegou o momento de escolher!,7,Selecione o serviço de e-mail que você mais gosta para aprender a criar sua conta de correio eletrônico.,https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Enviar uma mensagem de correio eletrônico,8,"Nesta página você verá o procedimento para enviar uma mensagem de correio eletrônico
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Envie a sua primeira mensagem,9,Nesta página você conhecerá o painel de escrita.,https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Escrever uma mensagem de correio,10,Nesta página você aprenderá o que deve fazer para enviar um e-mail,https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Responder uma mensagem de correio eletrônico,11,"Nesta página você verá os passos para responder uma mensagem de correio eletrônico.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Opções para responder um e-mail,12,Nesta página você verá as opções que terá para responder um e-mail.,https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Administre suas mensagens de e-mail,13,"Nesta página você verá como administrar suas mensagens de correio eletrônico nas pastas existentes.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
O que é um arquivo anexo?,14,"Nesta página identificaremos em que consiste um arquivo anexado a mensagem de correio eletrônico.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Anexar arquivos comprimidos,15,"Página que descreve como podemos comprimir os arquivos para que possam ser enviados por correio.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Fazer o download de um arquivo anexo,16,"Instruções para fazer o download de um arquivo anexo em uma mensagem de e-mail.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Escrever corretamente uma mensagem,17,Aqui será descrito alguns parâmetros que você deve saber no momento de escrever uma mensagem de correio eletrônico.,https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Recomendações para escrever um e-mail,18,Aqui mostraremos alguns padrões de escrita para o momento de redigir uma mensagem de correio eletrônico.,https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Aprenda a criar uma conta no Yahoo!,19,"Nesta página você irá encontrar os passos para aprender a criar ou abrir uma conta no Yahoo!
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Formulário de registro do Yahoo!,20,descrição de como preencher o formulário do Yahoo!,https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Dados de segurança da sua conta,21,Descrição dos campos do formulário do Yahoo!,https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Aprenda a criar sua conta no Outlook - Hotmail,22,"Descrição do procedimento para começar a abrir uma conta no Hotmail.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Como preencher o formulário de registro no Outlook,23,"Veja o que é necessário fazer para preenche o formulário de registro na página do Hotmail.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Como abrir um conta no Outlook - Hotmail,24,"Descrição de como preencher os campos finais do formulário de registro no Outlook ou Hotmail
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Aprenda a criar uma conta de e-mail no Gmail,25,"Passos iniciais para criar uma conta de email no Gmail.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Como preencher o formulário do Gmail,26,"Descrição dos campos do formulário de inscrição do Gmail.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
Como criar um perfil no Gmail,27,"Descrição dos passos para finalizar o processo de inscrição ao gmail e criação do perfil.
",https://edu.gcfglobal.org//pt/criar-um-correio-eletronico/,Portugues,criar-um-correio-eletronico
