nombre,numero,descripcion,url,idioma,topico
Adição de quantidades,1,"Aqui você encontrará passo a passo tudo o que precisa saber para aprender a adicionar. Também poderá treinar o que você aprendeu com nossos exercícios no final da lição.
",https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Somar usando a reta numérica,2,Existe uma interpretação gráfica da soma que nos dá a possibilidade de entender de uma forma diferente este cálculo. Aprenda como fazer aqui.,https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Somar usando valores posicionais,3,Aprenda a somar números grandes.,https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Fazer somas com números grandes,4,"Nesta página você aprenderá a somar números maiores com o ""vai"".",https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Somando vários números,5,"Se você precisar somar vários números, o procedimento será este:
",https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Propriedades da soma,6,Conheça as propriedades da soma e aprenda a usá-las.,https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Problemas que podem ser resolvidos com somas,7,"Aprenda a usar a soma para resolver os problemas da vida cotidiana.
",https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Subtração de quantidades,8,Veja tudo o que você precisa saber para fazer subtrações corretamente.,https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Subtrair usando uma reta numérica,9,"Assim como na soma, também podemos interpretar a subtração de uma forma gráfica. Esta interpretação nos ajudará a entender melhor a subtração e nos permitirá calcular de uma forma simples.",https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Subtrair usando valores posicionais,10,"Aprenda a subtrair números usando os valores posicionais.
",https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Subtraindo números grandes,11,Nesta página você vai aprender a subtrair número grandes.,https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Propriedades da subtração,12,"A subtração não possui as mesmas propriedades que a soma, veja mais aqui.",https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Resolvendo problemas com subtrações,13,Aprenda a usar a subtração para resolver os problemas da vida cotidiana.,https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
O uso dos parêntesis,14,"Os Parênteses desempenham um papel importante na resolução de operações matemáticas. Aprenda a usá-los aqui.
",https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
E quando não tem parêntesis?,15,"O que fazer quando não há parênteses que indicam a ordem das operações a serem executadas? Aprenda a resolver esses problemas aqui.
",https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Aplicar somas e subtração,16,Aprenda a combinar somas e subtração para resolver problemas da vida diária.,https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Soma e subtração de inteiros na reta,17,Aprenda a fazer somas e subtrações de números inteiros usando a reta.,https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Regra dos símbolos ou sinais,18,"Aprenda como simplificar os sinais ""mais"" e ""menos"" que aparecem.",https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Simplificação de expressões com regras de sinais,19,"Aqui você aprenderá a usar a regra de sinais para resolver expressões aritméticas.
",https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
Somar e subtrair números negativos,20,Somar e subtrair números negativos pode ser um pouco complicado. Mas nesta página mostraremos como fazer isso facilmente através de um pequeno truque.,https://edu.gcfglobal.org//pt/somar-e-subtrair/,Portugues,somar-e-subtrair
