nombre,numero,descripcion,url,idioma,topico
O que são os computadores?,1,Saiba o que são os computadores e para que podemos usá-los. Veja também uma rápida diferença entre Software e Hardware.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
O que são hardware e software? ,2,Nesta página você aprenderá os conceitos de software e hardware e verá alguns exemplos de como eles são usados.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Tipos de computadores,3,Veja quais são os tipos de computadores existentes e o que você deve saber antes de comprar um.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Notebook,4,Conheça aqui as principais características de um notebook ou computador portátil.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Tablets,5,Conheça detalhadamente o que são tablets e quais são suas principais características.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Smartphone ou telefone inteligente,6,Entenda o que é um smartphone ou um telefone inteligente. Conheça suas características e confira quais são as vantagens dos smartphones.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Computadores vestíveis,7,O que são os computadores vestíveis ou wearable computing. Conheça alguns exemplos desse tipo de computador acoplado a peças de vestuário.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Outros tipos de computadores,8,Também existem outros tipos de computadores que estão presentes no nosso cotidiano.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Quais são as partes do computador?,9,Aqui você aprenderá quais são as partes básicas do computador e irá conhecê-las por imagens.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Principais botões e entradas de um computador,10,"Confira quais são os principais botões e entradas de um computador. Conheça as diferenças entre entradas USB e USB-C, as conexões mais comuns para monitores e outros periféricos, entre outros tópicos.",https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Parte posterior do gabinete,11,Quais são as entradas existentes na parte traseira da CPU? Apresentamos um resumo das entradas encontradas na parte de trás da CPU de um computador desktop.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
O que é o teclado,12,Você sabe como usar o teclado? Conhece suas diferentes funções?,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
"Monitor, cabo de energia e mouse",13,"Vejamos para que serve o cabo de energia, o mouse e o monitor do computador.",https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Periféricos do computador,14,Saiba quais são os periféricos que você pode usar e instalar no seu computador.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
O que é um mouse?,15,"O mouse é uma das partes do computador e nos permite interagir com os objetos, programas e documentos que aparecem na tela.",https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
O que há dentro do computador?,16,"O que tem dentro de um computador? Veja como identificar os componentes internos do computador. Saiba o que é a placa mãe, para que serve o processador e mais.",https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Memória RAM e Disco rígido,17,Você já ouviu falar em memória RAM e disco rígido? Veja o que são aqui.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Placas de expansão,18,"Nesta página você aprenderá sobre as placas de expansão como as de vídeo, áudio, rede e bluetooth.
",https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
O que é um sistema operacional?,19,"Entenda o que é um sistema operacional, para que serve e qual é o seu papel nos computadores.",https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Sistemas operacionais para o computador,20,Nesta página mostramos algumas informações sobre os sistemas operacionais Windows e Apple.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Diferenças entre o Mac OS X e o Windows,21,Você sabe quais são as principais diferenças entre um Mac OS X e Windows?,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Diferenças entre um PC e um MAC,22,Nesta página você aprenderá qual é a diferença entre um PC e um MAC e qual dos dois é a melhor opção segundo as suas necessidades.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Os sistemas operacionais para dispositivos móveis,23,Aprenda mais sobre os sistemas operacionais criados para dispositivos móveis como celulares ou tablets.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Como instalar um PC,24,"Veja como instalar um PC ou computador tipo desktop. Confira passo a passo como conectar o monitor a um PC, como instalar teclado, mouse e caixas de som.",https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Como ligar o computador,25,Aprenda a ligar um computador independente de ser um Mac ou um Pc.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Como ligar um notebook,26,"Aqui você verá como conectar e ligar um Laptop ou Notebook, que nada mais é que um computador portátil. ",https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Transferir arquivos e configurações,27,Aprenda como transferir seus arquivos e as configurações de um computador para outro.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Instalar os Periféricos,28,"Veja como instalar os periféricos de um computador. Veja como conectar alguns dispositivos complementares ao seu computador, como impressoras e scanners. ",https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Como instalar internet em casa,29,Confira quais os diferentes tipos de conexão de internet que você pode contratar e veja passo a passo como criar sua rede doméstica de wi-fi na sua casa.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Interface do Windows,30,Dê uma olhada nos principais aspectos relacionados à interface do Windows.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Abrir o explorador de arquivos,31,Aqui você aprenderá a abrir o explorador de arquivos do seu computador Windows.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Apagar um arquivo no Windows,32,Use a lixeira e conheça algumas formas de eliminar ou excluir um arquivo do seu computador.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Ajustar a configuração do seu computador,33,Veja passo a passo como ajustar a configuração do seu computador Windows.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Desligar o computador,34,Desligar corretamente um computador Windows é muito importante para sua conservação. ,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Interface do Mac OS X,35,Aqui lhe mostramos como funciona a interface de um Mac OS x.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Abrir o explorador de arquivos Finder,36,Você sabe como abrir o explorador de arquivos do Mac OS X ?,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Excluir um arquivo no Mac OS X,37,Aprenda como usar a lixeira e as maneiras de excluir um arquivo do seu computador Mac OS X.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Ajustar configurações no Mac OS X,38,As vezes é necessário saber ajustar algumas configurações do seu computador Mac OS X.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Desligar o Mac OS X,39,Veja como é simples e importante saber desligar seu computador Mac.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
O que é um aplicativo ou um programa?,40,O que é um programa? Programas e aplicativos são a mesma coisa? Somente dispositivos móveis contém aplicativos? Entenda como funcionam os aplicativos e veja exemplos.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Instalar programas ou aplicativos,41,"Uma vez entendida a definição e função de um programa ou aplicativo, conheça como é feita a instalação dos mesmos, seja num computador Mac ou Windows.",https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Aplicativos móveis,42,Conheça as funções e as características de alguns aplicativos móveis.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
O que é um aplicativo web?,43,Entenda um pouco mais do que são os aplicativos web.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Como funcionam os aplicativos web?,44,"Agora que você sabe tudo relacionado com a nuvem e como utilizar os aplicativos web, conheça um pouco mais do seu funcionamento.",https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Armazenamento na nuvem,45,Aprenda a usar e veja quais são algumas das principais funções da Nuvem.,https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Como proteger seu computador das principais ameaças,46,"​Como proteger seu computador? Veja o que é malware e como se proteger dessa e de outras ameaças como vírus, spyware, trojan horses, ransomware e outros perigos.",https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Como criar um ambiente seguro para homeoffice,47,"Como criar um ambiente seguro no homeoffice. Veja como organizar seu espaço de trabalho para evitar problemas como fadiga visual, dor nas costas e no pescoço.",https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
Teste Final ,48,"Teste os conhecimentos adquiridos no curso de Informática Básica.
",https://edu.gcfglobal.org//pt/informatica-basica/,Portugues,informatica-basica
