nombre,numero,descripcion,url,idioma,topico
O que são conjuntos numéricos?,1,Por que existem diferentes tipos de números?,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Os números naturais,2,O conjunto mais importante no mundo das matemáticas: Os números naturais.,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Algumas propriedades do conjunto dos números naturais,3,Nesta página você encontrará as principais características dos números naturais.,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
A ordem dos números naturais no conjunto,4,"Veja qual é a ordem dos números naturais, quando um é maior que outro e como estas relações são representadas.",https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
O que são números inteiros?,5,Veja o que você precisa saber sobre o conjunto dos números inteiros,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Propriedades do conjuntos dos Números Inteiros,6,Nesta página você encontrará as principais propriedades dos números inteiros.,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Ordem no conjunto dos números inteiros,7,"Assim como nos naturais, nos números inteiros também existe uma relação de ordem.",https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
O que são números racionais ou fracionários?,8,Veja o que são os números racionais e para que servem.,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Algumas propriedades do conjunto dos números racionais,9,"Aprenda quais são as principais operações dos números fracionários, também chamados racionais.",https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Ordem no conjunto dos números racionais,10,Em muitos casos devemos comparar números racionais ou fracionários para saber qual é maior. Aqui lhe ensinamos como fazer.,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Aprendendo a contar,11,Conheça o conceito de contar e o que acontece quando contamos.,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Os dígitos,12,Nesta página você encontrará tudo o que necessita saber sobre o sistema decimal e os dígitos.,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Valores posicionais,13,"Aprende tudo sobre os valores posicionais: unidades, dezenas, centenas e mais.",https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Como chamamos os números?,14,Aprende a usar as regras para nomear os números corretamente.,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Números Cardinais e Ordinais,15,Aprenda o que são números cardinais e ordinais e veja exemplos de situações nas quais usamos esses números.,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Os números negativos,16,"Aprenda como o que são números negativos, como são representados e como funcionam.",https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Os números naturais na reta,17,Nesta página poderá encontrar como representamos graficamente os números numa reta.,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Os números inteiros na reta,18,Aprenda a representar os números inteiros numa reta numérica.,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Os números racionais na reta,19,Veja tudo sobre como representar números fracionários ou racionais numa reta numérica.,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
Ordem numa reta numérica,20,Aprenda a representar a ordem dos números numa reta numérica.,https://edu.gcfglobal.org//pt/os-numeros/,Portugues,os-numeros
