nombre,numero,descripcion,url,idioma,topico
Como escolher um bom iPad?,1,Querer um iPad não é apenas comprá-lo. Pense primeiro nas suas necessidades e em como você as usará.,https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
Dicas para escolher uma máquina fotográfica,2,"Se você não sabe qual câmara comprar, veja aqui nossa dicas.",https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
E agora? Qual celular comprar?,3,"Frente a grande quantidade de celulares disponíveis no mercado a dúvida, qual comprar ?",https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
Como economizar a bateria do seu Android,4,Seis conselhos para economizar a bateria do seu smartphone Android.,https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
Cuidados ao instalar um aplicativo,5,"Quando instalamos um aplicativo, o fabricante pode acessar nossos dados e o controle de funções.",https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
DreamSpark: uma janela para realizar seus sonhos,6,Com o DreamSpark você pode baixar ferramentas profissionais gratuitas para programar e desenhar.,https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
Dicas para usar o buscador da Google,7,O buscador do Google tem vários truques que talvez você não conhecia. Aqui vamos lhe mostrar.,https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
Salve anotações na nuvem com o Microsoft OneNote,8,"Com esta ferramenta on-line, você pode ter acesso à suas anotações em todos os seus dispositivos.",https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
Histórico de Localização do Google,9,Você sabia que um celular Android pode registrar a sua localização pelo Google?,https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
Sites para aprender a programar,10,"Veja aqui alguns sites onde podes aprender mais sobre programação de computadores.


",https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
Estude de graça e sem sair de casa com a internet,11,Há sites na internet onde você pode estudar gratuitamente em universidades como a Harvard.,https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
 Como ser um bom cidadão digital?,12,Veja alguns conselhos para ser um bom cidadão digital e se comportar bem enquanto navega na internet.,https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
Dispositivos para Salvar Dados,13,"Veja algumas possibilidade de espaços e dispositivos para salvar seus documentos, dados ou informações feitas no seu computador.",https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
Como funciona o rastreamento digital?,14,"Aprenda mais sobre o ""rastreamento digital"": o que é e como funciona?",https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
​O que é internet das coisas?,15,"A Internet das Coisas é uma tecnologia que está mudando o modo de viver, estudar e trabalhar. Mas você sabe exatamente o que isso significa? Nesta página explicamos para você.",https://edu.gcfglobal.org//pt/dicas-tecnologicas/,Portugues,dicas-tecnologicas
