name,link,course,courseLink,description
Conteo y valor posicional,/math/cc-kindergarten-math/cc-kindergarten-counting,Jardín de niños,https://es.khanacademy.org/math/cc-kindergarten-math,
Sumas y restas,/math/cc-kindergarten-math/cc-kindergarten-add-subtract,Jardín de niños,https://es.khanacademy.org/math/cc-kindergarten-math,Aprende los conceptos básicos de la suma y la resta.
Medición y geometría,/math/cc-kindergarten-math/cc-kindergarten-geometry,Jardín de niños,https://es.khanacademy.org/math/cc-kindergarten-math,"Aprende cómo comparar objetos según su tamaño. Aprende las figuras básicas, compara figuras y usa figuras para crear otras nuevas.  "
Valor posicional,/math/cc-1st-grade-math/cc-1st-place-value,1.er grado,https://es.khanacademy.org/math/cc-1st-grade-math,"Vamos a aprender acerca del valor posicional de las unidades y de las decenas, y a comparar números de 2 dígitos."
Sumas y restas,/math/cc-1st-grade-math/cc-1st-add-subtract,1.er grado,https://es.khanacademy.org/math/cc-1st-grade-math,"Primero, vamos a aprender cómo se relacionan la suma y la resta. Después, vamos a sumar y a restar números menores o iguales que 20 y resolver problemas verbales de sumas y restas. Para terminar, vamos a empezar a sumar números de dos dígitos.  "
"Medición, datos y geometría",/math/cc-1st-grade-math/cc-1st-measurement-geometry,1.er grado,https://es.khanacademy.org/math/cc-1st-grade-math,"Primero vamos a comparar objetos por longitud y los mediremos con unidades de longitud del mismo tamaño sin que queden huecos o se traslapen. Luego vamos a leer e interpretar gráficas de barras, leeremos la hora en un reloj analógico y aprenderemos acerca de figuras."
Suma y resta números hasta 20,/math/cc-2nd-grade-math/x3184e0ec:add-and-subtract-within-20,2.º grado,https://es.khanacademy.org/math/cc-2nd-grade-math,
Valor posicional,/math/cc-2nd-grade-math/cc-2nd-place-value,2.º grado,https://es.khanacademy.org/math/cc-2nd-grade-math,"Vamos a aprender acerca de los valores posicionales de las unidades, decenas y centenas, y a comparar números de 3 dígitos."
Suma y resta números hasta 100,/math/cc-2nd-grade-math/cc-2nd-add-subtract-100,2.º grado,https://es.khanacademy.org/math/cc-2nd-grade-math,Aprende a sumar y restar números de dos dígitos del 1 al 100.
Suma y resta números hasta 1000,/math/cc-2nd-grade-math/cc-2nd-add-subtract-1000,2.º grado,https://es.khanacademy.org/math/cc-2nd-grade-math,Aprende a sumar y restar números de dos y tres dígitos del 1 al 1000.
Dinero y tiempo,/math/cc-2nd-grade-math/x3184e0ec:money-and-time,2.º grado,https://es.khanacademy.org/math/cc-2nd-grade-math,
La medición,/math/cc-2nd-grade-math/cc-2nd-measurement-data,2.º grado,https://es.khanacademy.org/math/cc-2nd-grade-math,"Primero medimos longitud mediante cuadrados unitarios y reglas, comparamos y estimamos longitud. Luego leemos y hacemos pictogramas, gráficas de barras y gráficas de líneas. De ahí leemos la hora en relojes analógicos y contamos monedas y billetes. Después de eso identificamos cuadriláteros, pentágonos, hexágonos y octágonos. Finalmente partimos figuras en partes iguales."
Los datos,/math/cc-2nd-grade-math/x3184e0ec:data,2.º grado,https://es.khanacademy.org/math/cc-2nd-grade-math,"Practica resolver problemas con gráficos de imagen, de barras y de líneas."
Geometría,/math/cc-2nd-grade-math/x3184e0ec:geometry,2.º grado,https://es.khanacademy.org/math/cc-2nd-grade-math,
Introducción a la multiplicación,/math/cc-third-grade-math/intro-to-multiplication,3.º grado,https://es.khanacademy.org/math/cc-third-grade-math,
Multiplicación de 1 dígito,/math/cc-third-grade-math/3rd-basic-multiplication,3.º grado,https://es.khanacademy.org/math/cc-third-grade-math,
"Sumas, restas y estimaciones",/math/cc-third-grade-math/imp-addition-and-subtraction,3.º grado,https://es.khanacademy.org/math/cc-third-grade-math,
Introducción a la división,/math/cc-third-grade-math/intro-to-division,3.º grado,https://es.khanacademy.org/math/cc-third-grade-math,
Entiende fracciones,/math/cc-third-grade-math/imp-fractions,3.º grado,https://es.khanacademy.org/math/cc-third-grade-math,
Fracciones equivalentes y comparación de fracciones,/math/cc-third-grade-math/equivalent-fractions-and-comparing-fractions,3.º grado,https://es.khanacademy.org/math/cc-third-grade-math,
Más con multiplicación y división,/math/cc-third-grade-math/imp-multiplication-and-division,3.º grado,https://es.khanacademy.org/math/cc-third-grade-math,
Patrones aritméticos y resolución de problemas,/math/cc-third-grade-math/arithmetic-patterns-and-problem-solving,3.º grado,https://es.khanacademy.org/math/cc-third-grade-math,
Cuadriláteros,/math/cc-third-grade-math/quadrilaterals-3rd,3.º grado,https://es.khanacademy.org/math/cc-third-grade-math,
Área,/math/cc-third-grade-math/imp-geometry,3.º grado,https://es.khanacademy.org/math/cc-third-grade-math,
Perímetro,/math/cc-third-grade-math/3rd-perimeter,3.º grado,https://es.khanacademy.org/math/cc-third-grade-math,
Tiempo,/math/cc-third-grade-math/time,3.º grado,https://es.khanacademy.org/math/cc-third-grade-math,
La medición,/math/cc-third-grade-math/imp-measurement-and-data,3.º grado,https://es.khanacademy.org/math/cc-third-grade-math,
Representa e interpreta datos,/math/cc-third-grade-math/represent-and-interpret-data,3.º grado,https://es.khanacademy.org/math/cc-third-grade-math,
Valor posicional,/math/cc-fourth-grade-math/imp-place-value-and-rounding-2,4.º grado,https://es.khanacademy.org/math/cc-fourth-grade-math,
"Sumas, restas y estimaciones",/math/cc-fourth-grade-math/imp-addition-and-subtraction-2,4.º grado,https://es.khanacademy.org/math/cc-fourth-grade-math,
Multiplica por números de 1 dígito,/math/cc-fourth-grade-math/imp-multiplication-and-division-2,4.º grado,https://es.khanacademy.org/math/cc-fourth-grade-math,
Multiplica por números de 2 dígitos,/math/cc-fourth-grade-math/multiplying-by-2-digit-numbers,4.º grado,https://es.khanacademy.org/math/cc-fourth-grade-math,
La división,/math/cc-fourth-grade-math/division,4.º grado,https://es.khanacademy.org/math/cc-fourth-grade-math,
"Factores, múltiplos y patrones",/math/cc-fourth-grade-math/imp-factors-multiples-and-patterns,4.º grado,https://es.khanacademy.org/math/cc-fourth-grade-math,
Fracciones equivalentes y comparación de fracciones,/math/cc-fourth-grade-math/comparing-fractions-and-equivalent-fractions,4.º grado,https://es.khanacademy.org/math/cc-fourth-grade-math,
Suma y resta fracciones,/math/cc-fourth-grade-math/imp-fractions-2,4.º grado,https://es.khanacademy.org/math/cc-fourth-grade-math,
Multiplica fracciones,/math/cc-fourth-grade-math/4th-multiply-fractions,4.º grado,https://es.khanacademy.org/math/cc-fourth-grade-math,
Entender números decimales,/math/cc-fourth-grade-math/imp-decimals,4.º grado,https://es.khanacademy.org/math/cc-fourth-grade-math,
Figuras planas,/math/cc-fourth-grade-math/plane-figures,4.º grado,https://es.khanacademy.org/math/cc-fourth-grade-math,
Medir ángulos,/math/cc-fourth-grade-math/imp-geometry-2,4.º grado,https://es.khanacademy.org/math/cc-fourth-grade-math,
Área y perímetro,/math/cc-fourth-grade-math/area-perimeter,4.º grado,https://es.khanacademy.org/math/cc-fourth-grade-math,
Unidades de medida,/math/cc-fourth-grade-math/imp-measurement-and-data-2,4.º grado,https://es.khanacademy.org/math/cc-fourth-grade-math,
Valor posicional decimal,/math/cc-fifth-grade-math/imp-place-value-and-decimals,5.º grado,https://es.khanacademy.org/math/cc-fifth-grade-math,
Suma decimales,/math/cc-fifth-grade-math/imp-addition-and-subtraction-3,5.º grado,https://es.khanacademy.org/math/cc-fifth-grade-math,
Resta decimales,/math/cc-fifth-grade-math/subtract-decimals,5.º grado,https://es.khanacademy.org/math/cc-fifth-grade-math,
Suma y resta fracciones,/math/cc-fifth-grade-math/imp-fractions-3,5.º grado,https://es.khanacademy.org/math/cc-fifth-grade-math,
Multiplicación y división de varios dígitos,/math/cc-fifth-grade-math/multi-digit-multiplication-and-division,5.º grado,https://es.khanacademy.org/math/cc-fifth-grade-math,
Multiplica fracciones,/math/cc-fifth-grade-math/5th-multiply-fractions,5.º grado,https://es.khanacademy.org/math/cc-fifth-grade-math,
