nombre,numero,descripcion,url,idioma,topico
Como criar apresentações criativas com PowerPoint 2019,1,"Os principais recursos do PowerPoint 2019.  Conheça as novidades do PowerPoint 2019, veja como criar apresentações criativas PowerPoint 2019.",https://edu.gcfglobal.org//pt/powerpoint-2019/,Portugues,powerpoint-2019
Como criar um slide de índice no PowerPoint 2019,2,"Veja como criar um slide de índice no PowerPoint 2019. Nesta seção do curso, nós mostramos como utilizar a ferramenta Zoom de resumo, uma novidade desta versão que permite criar um slide  inicial no qual você visualiza todos os slides da sua apresentação de uma vez!",https://edu.gcfglobal.org//pt/powerpoint-2019/,Portugues,powerpoint-2019
Como criar animações no PowerPoint 2019,3,"Nesta seção do nosso curso, vamos mostrar como funciona a transição ""Transformar"", uma novidade do PowerPoint 2019 que permite animar e dar movimento a imagens e textos.",https://edu.gcfglobal.org//pt/powerpoint-2019/,Portugues,powerpoint-2019
Como converter imagens em formas no PowerPoint 2019 ,4,"​Como converter imagens em formas no PowerPoint 2019,  sem necessidade de usar um programa de ilustração profissional. Isso permitirá aplicar texturas, cores e textos a cada parte da imagem que você estiver trabalhando na sua apresentação.",https://edu.gcfglobal.org//pt/powerpoint-2019/,Portugues,powerpoint-2019
Como usar imagens 3D no PowerPoint 2019  ,5,​Como usar imagens 3D no PowerPoint 2019. Veja como inserir imagens 3D em uma apresentação para deixá-la muito mais dinâmica e interessante! ,https://edu.gcfglobal.org//pt/powerpoint-2019/,Portugues,powerpoint-2019
Como cortar o fundo de uma imagem no PowerPoint 2019,6,"Como cortar o fundo de uma imagem no PowerPoint 2019. Veja como editar uma imagem diretamente no PowerPoint 2019, sem  usar um programa de edição de imagens.",https://edu.gcfglobal.org//pt/powerpoint-2019/,Portugues,powerpoint-2019
Como converter uma apresentação do PowerPoint em vídeo,7,Como converter uma apresentação do PowerPoint em vídeo. Veja como transformar uma apresentação em um vídeo e conheça os diferentes formatos disponíveis.,https://edu.gcfglobal.org//pt/powerpoint-2019/,Portugues,powerpoint-2019
Como usar o lápis digital do PowerPoint 2019,8,Como usar o lápis digital do PowerPoint 2019. Veja como escrever à mão em uma apresentação do PowerPoint e como ressaltar elementos no PowerPoint com marcador. ,https://edu.gcfglobal.org//pt/powerpoint-2019/,Portugues,powerpoint-2019
Como desenhar linhas retas e alinhar elementos no PowerPoint 2019,9,Como desenhar linhas retas e alinhar elementos no PowerPoint 2019. Veja como usar a função “Régua” do PowerPoint  e como alinhar elementos em uma apresentação.,https://edu.gcfglobal.org//pt/powerpoint-2019/,Portugues,powerpoint-2019
Teste Final,10,Teste os conhecimentos adquiridos no curso de PowerPoint 2019.,https://edu.gcfglobal.org//pt/powerpoint-2019/,Portugues,powerpoint-2019
