nombre,numero,descripcion,url,idioma,topico
Por que usar o Facebook?,1,Descubra porque o Facebook é a rede social maior do mundo.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Como criar uma conta ou perfil no Facebook?,2,Aprenda como criar uma conta no Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Primeiros passos no Facebook,3,"Aqui você encontrará a descrição dos primeiros passos que você dará no facebook. Você saberá como encontrar amigos, incluir informações no perfil e pôr a sua própria fotos.",https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Adicione uma foto no perfil,4,"Nesta página você aprenderá como adicionar a sua foto do perfil e você verá um pequeno tour que Facebook tem preparado para você.
",https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Como entrar na sua conta ou perfil do Facebook,5,Encontre uma descrição detalhada dos passos que você deve seguir para acessar ou entrar na sua conta do Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Conheça tudo o que você pode fazer na sua página inicial,6,"Nesta página você aprenderá como utilizar os botões da sua página inicial no Facebook. 
",https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Criar listas inteligentes,7,"Aqui você verá os passos para criar listas inteligentes.
",https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Passos para fazer uma publicação,8,Aqui você aprenderá como publicar com o menu Compartilhar do facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Escolha quem verá o que você publica,9,Aqui você aprenderá como compartilhar com seus amigos a informação de com quem você está e onde está.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
"Curtir, Comentar e Compartilhar",10,"Nesta página você aprenderá a usar os botões Curtir, Comentar e Compartilhar no Facebook.",https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Escolha o que você quer ver no seu Feed de notícias,11,Nesta página você verá os passos que você deve seguir para escolher o que você quer e não quer ver no seu Feed de notícias.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
A Linha do Tempo e suas ferramentas,12,Nesta página você verá como aparenta a sua linha do tempo e mais adiante uma breve descrição de cada uma das partes.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
O que é a foto de Capa?,13,"Nesta página você aprenderá o que é a foto de capa do Facebook e como adicioná-la ao seu perfil.
",https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Adicione ou mude a sua foto de perfil,14,"Nesta página você aprenderá como adicionar ou mudar a foto do perfil da sua conta do facebook.
",https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Atualizar informações,15,Nesta página você aprenderá como atualizar a informação que você adicionou previamente no Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
O que é e para o que serve o registro de atividade?,16,"Aqui você aprenderá a usar a ferramenta Registro de atividades, útil para seguir passo a passo seus movimentos no Facebook.",https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Consulte o resumo da sua atividade,17,"Nesta página você consultará como revisar o resume das suas atividades no Facebook.
",https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Acessar diretamente a sua seção de Favoritos,18,Nesta página contém a informação que você precisa para aproveitar ao máximo da seção de Favoritos do Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Compartilhe um Evento,19,Nesta página você encontrará os passos que você deve seguir para publicar e também os diferentes tipos de publicação.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Conheça a sua página de amigos,20,Nesta página você encontrará a informação que precisa saber sobre a página de amigos no Facebook e também verá o que você pode fazer desde ali.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Edite e encontre os seus amigos,21,Nesta página você verá como editar a sua lista de amigos e também como encontrá-los.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Classificar os seus amigos em Listas Inteligentes,22,"Nesta página estão os passos que você deve seguir para classificar a sua lista de amigos no Facebook por categorias.
",https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Selecione ver notificações do que mais lhe interessa,23,"Nesta página você aprenderá como selecionar notificações dos amigos que mais lhe interessa.
",https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
"Destacar, excluir ou editar publicações",24,"Nesta página você aprenderá a destacar, excluir ou editar as publicações que você tem na sua linha do tempo.
",https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Para o que serve o seletor de data?,25,Nesta página você verá o que é e para que serve o seletor de data.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Como Adicionar fotos,26,Nesta página você verá os passos detalhados que se deve seguir para carregar fotos e criar álbuns no Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Crie álbuns de fotos,27,Nesta página você aprenderá como criar um álbum de fotos no Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Como iniciar um bate-papo com seus amigos no Facebook?,28,Nesta página você verá os passos que você deve seguir para iniciar um bate-papo com os seus amigos no Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Criar um evento no Facebook,29,Nesta página estão os passos que você deve seguir para criar um evento no Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Criar um grupo no Facebook,30,Nesta página está a descrição dos passos que você deve seguir para criar um grupo no Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Seguir alguém no Facebook,31,Nesta página você aprenderá como seguir alguém no Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Onde eu posso configurar a privacidade da minha conta?,32,Nesta página você conhecerá os controles de privacidade do Facebook e aprenderá como configurá-los.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Como usar o botão seletor de público?,33,Nesta página você aprenderá o que é e como usar o seletor de público para que você possa escolher quem vê o que nas suas publicações no Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
O que você deve fazer se invadirem a sua conta?,34,"Nesta página você aprenderá o que deve fazer caso invadam a sua conta.
",https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Conselhos para manter a sua conta segura,35,Nesta página você encontrará conselhos para manter a sua conta segura.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Denunciar um perfil no Facebook,36,Nesta página você encontrará os passos que deve seguir para denunciar um perfil no Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Desativar a sua Conta,37,Nesta página você encontrará a diferença entre excluir e desativar a conta do Facebook e os passos que você deve seguir em cada um dos casos.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Como excluir a sua conta do Facebook,38,Nesta página você aprenderá os passos para excluir a sua conta do Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Baixar uma cópia dos seus dados do Facebook,39,Nesta página você verá os passos que deve seguir para baixar uma cópia dos seus dados do Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Transformar uma conta em um memorial,40,Esta página contém a descrição dos passos que você deve seguir para transformar uma conta em um memorial quando este usuário faleceu.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
O que é a Central de aplicativos?,41,Nesta página você conhecerá o que é a central de aplicativos e como usá-la.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
Como instalar jogos e aplicativos,42,Nesta página você aprenderá como instalar jogos e aplicativos.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
O que é uma página de negócios?,43,Nesta página você aprenderá sobre o que é uma página de negócios no Facebook.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
O que é uma página de negócios? II,44,Nesta página você aprenderá o que é uma página de negócios e como obter uma.,https://edu.gcfglobal.org//pt/criar-uma-conta-no-facebook/,Portugues,criar-uma-conta-no-facebook
