Type,Name,Course
Introduction,Histoire,Des présentations efficaces
Modules,Concept commercial,Des présentations efficaces
Modules,Compétence technologique,Des présentations efficaces
Modules, Sondage,Des présentations efficaces
Modules,Ressources,Des présentations efficaces
Introduction,Histoire,Présenter des données
Modules,Concept commercial,Présenter des données
Modules,Compétence technologique,Présenter des données
Modules, Sondage,Présenter des données
Modules,Ressources,Présenter des données
Introduction,Histoire,Les e-mails professionnels
Modules,Concept commercial,Les e-mails professionnels
Modules,Compétence technologique,Les e-mails professionnels
Modules, Sondage,Les e-mails professionnels
Modules,Ressources,Les e-mails professionnels
Introduction,Histoire,Communications professionnelles
Modules,Concept commercial,Communications professionnelles
Modules,Compétence technologique,Communications professionnelles
Modules, Sondage,Communications professionnelles
Modules,Ressources,Communications professionnelles
Introduction,Histoire,Leadership efficace
Modules,Concept commercial,Leadership efficace
Modules,Compétence technologique,Leadership efficace
Modules, Sondage,Leadership efficace
Modules,Ressources,Leadership efficace
Introduction,Histoire,Économie circulaire
Modules,Concept de l’entreprise,Économie circulaire
Modules,Compétence technologique,Économie circulaire
Modules, Sondage,Économie circulaire
Modules,Ressources,Économie circulaire
Introduction,Histoire,Démarrer une petite entreprise
Modules,Concept commercial,Démarrer une petite entreprise
Modules,Compétence technologique,Démarrer une petite entreprise
Modules, Sondage,Démarrer une petite entreprise
Modules,Ressources,Démarrer une petite entreprise
Introduction,Histoire,L'entrepreneuriat social
Modules,Concept commercial,L'entrepreneuriat social
Modules,Études de cas,L'entrepreneuriat social
Modules,Compétence technologique,L'entrepreneuriat social
Modules, Sondage,L'entrepreneuriat social
Introduction,Histoire,Moteurs de croissance
Modules,Concept commercial,Moteurs de croissance
Modules,Compétence technologique,Moteurs de croissance
Modules, Sondage,Moteurs de croissance
Modules,Ressources,Moteurs de croissance
Introduction,Histoire,Impression 3D
Modules,Concept commercial,Impression 3D
Modules,Compétence technologique,Impression 3D
Modules, Sondage,Impression 3D
Modules,Ressources,Impression 3D
Introduction,Histoire,L’état d’esprit de réussite
Modules,Concept commercial,L’état d’esprit de réussite
Modules,Compétence technologique,L’état d’esprit de réussite
Modules, Sondage,L’état d’esprit de réussite
Modules,Ressources,L’état d’esprit de réussite
Introduction,Histoire,La pensée de conception
Modules,Concept commercial,La pensée de conception
Modules,Compétence technologique,La pensée de conception
Modules, Sondage,La pensée de conception
Modules,Ressources,La pensée de conception
Introduction,Histoire,Planification stratégique
Modules,Concept commercial,Planification stratégique
Modules,Compétence technologique,Planification stratégique
Modules, Sondage,Planification stratégique
Modules,Ressources,Planification stratégique
Introduction,Histoire,Flux de trésorerie
Modules,Concept commercial,Flux de trésorerie
Modules,Compétence technologique,Flux de trésorerie
Modules, Sondage,Flux de trésorerie
Modules,Ressources,Flux de trésorerie
Introduction,Histoire,Fondamentaux de la finance
Modules,Concept commercial,Fondamentaux de la finance
Modules,Compétence technologique,Fondamentaux de la finance
Modules, Sondage,Fondamentaux de la finance
Modules,Ressources,Fondamentaux de la finance
Introduction,Histoire,Pertes et profits
Modules,Concept commercial,Pertes et profits
Modules,Compétence technologique,Pertes et profits
Modules, Sondage,Pertes et profits
Modules,Ressources,Pertes et profits
Introduction,Histoire,Recherche de financements
Modules,Concept commercial,Recherche de financements
Modules,Compétence technologique,Recherche de financements
Modules, Sondage,Recherche de financements
Modules,Ressources,Recherche de financements
Introduction,Histoire,Anticiper les ventes
Modules,Concept commercial,Anticiper les ventes
Modules,Compétence technologique,Anticiper les ventes
Modules, Sondage,Anticiper les ventes
Modules,Ressources,Anticiper les ventes
Introduction,Histoire,Proposition de valeur unique
Modules,Concept commercial,Proposition de valeur unique
Modules,Compétence technologique,Proposition de valeur unique
Modules, Sondage,Proposition de valeur unique
Modules,Ressources,Proposition de valeur unique
Introduction,Histoire,Votre public cible
Modules,Concept commercial,Votre public cible
Modules,Compétence technologique,Votre public cible
Modules, Sondage,Votre public cible
Modules,Ressources,Votre public cible
Introduction,Histoire,Vendre en ligne
Modules,Concept commercial,Vendre en ligne
