nombre,numero,descripcion,url,idioma,topico
​¿Qué es programar?,1,"Conoce qué es la programación, qué hace un programador y qué habilidades puedes desarrollar al programar.",https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
Sistema binario,2,Conoce cómo funciona el código binario y cómo opera con los computadores.,https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
Patrones en números binarios,3,Conoce cuáles son los patrones que se manejan en los números binarios.,https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
Código hexadecimal,4,"Aprende sobre el código hexadecimal, sus usos y aplicaciones.",https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
Sistema Octal,5,"Conoce qué es y cómo funciona el sistema octal. También, aprende a convertir un número de sistema octal a binario y hexadecimal, de manera fácil.",https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
Valor y tipos de datos,6,"Conoce qué son, para qué sirven y qué clases de valores y tipos de datos existen en la programación.",https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
Operadores Lógicos o Booleanos,7,"Aprende sobre los operadores lógicos o ""booleanos"". Conoce sus características, funciones y aplicación en la programación.",https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
Operadores Aritméticos,8,Aprende sobre los operadores matemáticos en programación y su utilidad.,https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
Operadores de comparación,9,"Entre los distintos tipos de operadores que existen en la programación, se encuentran los ""operadores de comparación"". Aquí te explicamos cómo funcionan y para qué sirven.",https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
Operadores: ternario y de concatenación,10,Aprende qué son y en qué casos usar los operadores ternario y de concatenación.,https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
¿Qué es un algoritmo?,11,Veamos qué es un algoritmo y cuál es su función en la tecnología que usamos cotidianamente.,https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
¿Qué son las variables y constantes?,12,"Conoce la importancia de las variables y las constantes en el algoritmo y, por supuesto, en la programación.",https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
"Secuencias, condicionales y ciclos",13,"Al programar, el código suele dividirse en tres estructuras que realizan instrucciones básicas o algoritmos para toda clase de software.",https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
Representación de algoritmos,14,Conoce tres formas simples de representar algoritmos.,https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
¿Qué es un diagrama de flujo?,15,"Conoce qué es un diagrama de uso, cuáles son sus características y usos.",https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
Tipos de diagramas de flujo,16,Aprende sobre los tipos de diagramas de flujo o flujogramas que existen y en qué casos se usan.,https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
Símbolos de un diagrama de flujo,17,Para crear un diagrama de flujo debes conocer qué símbolos se usan y qué función cumple cada uno. ¡Conócelos aquí!,https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
Cómo realizar un diagrama de flujo,18,Aprende a crear diagramas de flujo y conoce algunos consejos para poner en práctica a la hora de plantear un flujograma.,https://edu.gcfglobal.org/es/conceptos-basicos-de-programacion/,Espanol,conceptos-basicos-de-programacion
