nombre,numero,descripcion,url,idioma,topico
A ordem das operações,1,"Para resolver um problema matemático, é importante considerar a ordem das operações. Aqui lhe mostramos como é essa ordem e como aplicá-la.",https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Potenciação,2,Entenda o que é a potenciação e veja como usá-la no seu dia-a-dia. Veja como se chamam as partes de uma potência e confira como resolver uma potenciação.,https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Como resolver potências de base negativa,3,Veja como resolver potências de base negativa. Entenda as variações de resultado quando o expoente é ímpar ou par. ,https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Como somar e subtrair potências,4,Veja como somar e subtrair potências de uma maneira muito simples.,https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Como resolver potências com expoentes  0 e 1 ,5,Veja como resolver potências com expoentes  0 e 1. ,https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Como multiplicar potências,6,"Veja como multiplicar potências de bases iguais, como multiplicar potências de expoentes iguais e como funciona a multiplicação com base e expoentes diferentes.",https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Como dividir potências,7,"Veja como dividir potências de mesma base, como dividir potências com expoentes iguais e como dividir potências de bases e expoentes diferentes.",https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Como resolver potências de potências,8,Como resolver potências de potências. Aprenda de uma maneira muito simples a encontrar o resultado de uma potência de potência. ,https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Como encontrar o valor absoluto de um número?,9,Veja como encontrar o valor absoluto de um número. Entenda o conceito de valor absoluto de um número e nunca mais se confunda com isso!,https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
"Multiplicar, dividir e elevar uma potência",10,"Aprenda a multiplicar, dividir ou elevar potencias a um expoente, através de um truque muito simples.",https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Inverso aditivo,11,"Na álgebra, é comum usarmos os inversos aditivos. Saiba o que são e como são usados ​​aqui.",https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Quais são as propriedades do inverso aditivo,12,"Veja quais são as propriedades do inverso aditivo,  como descobrir o inverso aditivo de um número e como funciona a soma e a subtração de um número por seu inverso aditivo.",https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Inverso multiplicativo,13,"Na álgebra, é muito comum usarmos inversos multiplicativos ou recíprocos. Saiba o que são e como usá-los aqui.",https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Quais são as propriedades do inverso multiplicativo,14,"Veja quais são as propriedades do inverso multiplicativo. Entenda porque o 1 é  chamado de nulo multiplicativo. Aprenda as propriedades da multiplicação.
",https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
O que é a radiciação?,15,"Entenda o que é a radiciação. Confira quais são os componentes da radiciação: o que é a raiz, o que é o radicando e o que é o índice.",https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Como encontrar a raiz de uma potência,16,Veja como encontrar a raiz de uma potência de uma maneira muito simples.,https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Prática,17,Teste os conhecimentos adquiridos no Curso de Pré-Álgebra.,https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Expressões algébricas,18,"Aprenda a ler expressões algébricas e entender conceitos como variável, coeficiente, operador e potência entre outros.",https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Expressões algébricas com potências,19,Aprenda a resolver operações com expoentes.,https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Simplificação expressões algébricas,20,"Aprenda a simplificar expressões algébricas com a gente.
",https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Resolver equações algébricas,21,Vamos ver como resolver equações algébricas passo a passo.,https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Resolver equações com parênteses,22,Aqui você encontrará um passo a passo de como resolver equações algébricas com parênteses.,https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Equações com variáveis ​​em ambos os lados,23,Aprenda passo a passo como resolver equações com variáveis em ambos os lados.,https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Equações com duas variáveis,24,"Resolver equações algébricas com duas variáveis ou incógnitas não é tão difícil quanto você pensa. Aqui nós ensinamos você a fazer isso, passo a passo.",https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Verificar a solução de uma equação,25,É possível verificar se a resposta a uma equação está correta. Veja como fazer isso.,https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Resolver problemas de álgebra,26,"Para resolver problemas de álgebra, você deve aprender a interpretar o texto apresentado. Veja algumas dicas.",https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
Exemplo de problemas de álgebra,27,Resolva um problema de álgebra passo a passo.,https://edu.gcfglobal.org//pt/algebra/,Portugues,algebra
