nombre,numero,descripcion,url,idioma,topico
Uma ideia de negócio,1,Descubra porque uma ideia de negócio é tão importante para começar um negócio.,https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
Inovação e criatividade,2,Estes pontos são fundamentais na constituição de uma empresa.,https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
O que é pensamento lateral?,3,O que é e para que serve o pensamento lateral para montar uma empresa.,https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
O que é uma Startup?,4,Veja porque este conceito é importante quando a ideia é montar uma empresa.,https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
Capital inicial de um negócio,5,Como conseguir o capital para iniciar um negócio.,https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
Tipos de empresa,6,Veja quais tipos de empresa existem e suas principais características.,https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
Organização de uma empresa,7,Observe como deve estar organizada uma empresa para que ela seja um sucesso.,https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
Como encontrar oportunidades no mercado,8,Veja como encontrar oportunidades no mercado da sua empresa.,https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
Finanças básicas de uma empresa,9,"Independente do tamanho da sua empresa, é importante ter suas finanças em dia.",https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
Marketing comercial,10,Observe o que é e como podemos ajudá-lo sua empresa.,https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
Estratégias de negócio,11,Saiba como criar e implementar as metas e iniciativas de uma empresa.,https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
Recursos Humanos,12,Saiba porque a área de recursos humanos é importante para o desenvolvimento da sua empresa.,https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
Como selecionar uma equipe de trabalho,13,Veja como escolher um boa equipo de trabalho para aumentar sua produtividade.,https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
Liderança empresarial,14,"Se você já tem uma empresa ou quer montar uma, é importante aprender a liderar.",https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
Eficiência em reuniões de trabalho,15,Aprenda a fazer com que suas reuniões de trabalho sejam eficientes.,https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
Salário emocional,16,Veja como motivar um funcionário para que ele seja mais produtivo.,https://edu.gcfglobal.org//pt/empreendedorismo/,Portugues,empreendedorismo
