nombre,numero,descripcion,url,idioma,topico
O que é e para que serve o Google Sala de Aula,1,​O que é e para que serve o Google Sala de Aula. Conheça a interface do Google Classroom e para que serve cada seção dessa ferramenta.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-alunos/,Portugues,google-sala-de-aula-para-alunos
Como acessar o Google Sala de Aula pela primeira vez,2,"Como acessar o Google Sala de Aula pela primeira vez. Conheça duas maneiras para entrar em uma turma do Google Sala de Aula: 1. como entrar em uma turma por meio de um convite enviado no seu e-mail 2. Como entrar numa turma do Google Classroom utilizando o código da turma.
",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-alunos/,Portugues,google-sala-de-aula-para-alunos
Como sair de uma turma do Google Sala de Aula,3,Como sair de uma turma do Google Sala de Aula. Veja como cancelar sua participação em uma turma.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-alunos/,Portugues,google-sala-de-aula-para-alunos
Como usar Google Sala de Aula no celular,4,​Como usar Google Sala de Aula no celular. Veja como entrar em uma turma do Google Sala de Aula pelo celular. Mostramos ainda como cancelar a inscrição em um turma.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-alunos/,Portugues,google-sala-de-aula-para-alunos
Como ativar e desativar as notificações no Google Sala de Aula,5,"Veja passo a passo como ativar e desativar notificações no google sala de aula, tanto no computador como no celular. Escolha quais as notificações que mais te interessam e deixe de receber aquelas que não servem para você.
",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-alunos/,Portugues,google-sala-de-aula-para-alunos
Como se comunicar com professores e colegas no Google Sala de Aula,6,"Veja como se comunicar com professores e colegas no Google Sala de Aula. Aprenda a enviar mensagens privadas, veja como comentar atividade e como publicar no mural do Google Classroom.",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-alunos/,Portugues,google-sala-de-aula-para-alunos
Como usar o Google Sala de Aula de forma segura,7,Como usar o google sala de aula de forma segura. Dicas de como melhorar a segurança do Google Classroom. Veja como denunciar um abuso ou má conduta no Google Sala de Aula.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-alunos/,Portugues,google-sala-de-aula-para-alunos
Como entregar trabalhos e tarefas no Google Sala de Aula,8,"Veja passo a passo como entregar atividade no Google Sala de aula, seja anexando o trabalho salvo no seu computador ou criando um novo documento nas aplicações Google.",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-alunos/,Portugues,google-sala-de-aula-para-alunos
Como responder a uma atividade nos Formulários Google ,9,"Veja como entregar uma atividade do Google Formulários, seja para fazer uma prova no Google Forms ou completar uma tarefa solicitada pelo seu professor.
",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-alunos/,Portugues,google-sala-de-aula-para-alunos
Como consultar estado e notas dos trabalhos ,10,"Veja como consultar o estado de uma atividade no Google Classroom, onde encontrar a lista de trabalhos pendentes no Google Sala de Aula e onde ver as notas dos seus trabalhos e atividades. 
",https://edu.gcfglobal.org//pt/google-sala-de-aula-para-alunos/,Portugues,google-sala-de-aula-para-alunos
Como usar a agenda do Google dentro do Google Sala de Aula,11,Veja como acessar agenda google vinculada ao Google Sala de aula. Aprenda a acessar os links das aulas virtuais e como usar a agenda google no celular.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-alunos/,Portugues,google-sala-de-aula-para-alunos
Como usar o Google Meet integrado ao Google Sala de Aula,12,Veja como usar o Google Meet nas suas aulas virtuais. Saiba acessar uma aula no Google Meet pelo celular e conheça os recursos disponíveis aos alunos.,https://edu.gcfglobal.org//pt/google-sala-de-aula-para-alunos/,Portugues,google-sala-de-aula-para-alunos
