Name,Duration,Pace,Language,Author,Code,Description,Category,Link
Des présentations efficaces,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR10,"Comment puis-je créer un diaporama de présentation efficace ?
Apprenez à créer une présentation, exercez-vous à la présenter à un public et faites en sorte qu'elle soit convaincante afin qu'elle exprime clairement votre message et s'adresse à un public ciblé.

Dans cette formation, vous apprendrez à :

Déterminer quelles informations d'une présentation sont les plus pertinentes pour un public ciblé.
Créer un diaporama de présentation efficace et bien conçu pour le présenter en distanciel ou en présentiel.
Acquérir les bonnes pratiques pour savoir vous exprimer en public et faire une présentation.
",Communication,https://www.life-global.org/fr/fr/course/127-des-pr%C3%A9sentations-efficaces
Présenter des données,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR14,"Quel est le moyen le plus efficace de présenter les données de mon entreprise ?
Apprenez comment choisir le bon diagramme en fonction des informations que vous souhaitez transmettre, et découvrez comment créer un diagramme avec un tableur

Dans ce cours, apprenez à :

Comprendre comment utiliser différents tableaux et graphiques pour aider les personnes à comprendre et apprécier votre entreprise.
Choisir le type de diagramme qui vous permettra de présenter vos données efficacement.
Utiliser un tableur pour créer des diagrammes et des graphiques.
",Communication,https://www.life-global.org/fr/fr/course/125-pr%C3%A9senter-des-donn%C3%A9es
Les e-mails professionnels,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR11,"Comment puis-je utiliser efficacement les e-mails dans le cadre de mon activité ?
Apprenez comment rédiger des e-mails professionnels efficaces et pertinents pour vos clients et fournisseurs.

Dans ce cours, apprenez à :

Identifier ce qu'il faut faire et ce qu'il faut éviter lorsque vous rédigez des e-mails professionnels
Adresser un e-mail
Ajouter une pièce jointe à un e-mail
Créer une signature
",Communication,https://www.life-global.org/fr/fr/course/126-les-e-mails-professionnels
Communications professionnelles,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR26,"Comment améliorer mes communications professionnelles ?
Découvrez l'importance des communications professionnelles et comment améliorer vos compétences dans ce domaine à l'aide d'un cadre simple. 

Dans ce cours, apprenez à : 

Identifier les caractéristiques d'une communication professionnelle efficace
Identifier les facteurs de succès d'une communication efficace
Identifier et analyser le public cible
Utiliser les moyens de communication pour transmettre efficacement des messages
",Communication,https://www.life-global.org/fr/fr/course/123-communications-professionnelles
Leadership efficace,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR23,"Comment puis-je devenir un leader plus efficace ?
Découvrez quand et comment utiliser différentes approches de leadership pour devenir un leader meilleur et plus efficace, dans tous les aspects de la relation commerciale.

Dans ce cours, apprenez à :

Déterminer les approches de leadership appropriées dans différentes situations
Utiliser un logiciel de bureau ou mobile pour collaborer et communiquer de façon plus productive en tant que leader
",Communication,https://www.life-global.org/fr/fr/course/124-leadership-efficace
Économie circulaire,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR33,"Comment puis-je concevoir mon entreprise afin de contribuer à une économie circulaire ?
Apprenez les bases et les principes fondamentaux de l’économie circulaire et comprenez comment elle peut fournir plus d’avantages et de valeur qu’un modèle économique linéaire traditionnel.

Avec ce cours, vous allez :

Comprendre pourquoi l’économie circulaire est très importante dans le monde d’aujourd’hui.
Apprendre les principes de base de l’économie circulaire.
Comprendre les différentes façons dont vous pouvez intégrer l’économie circulaire dans votre modèle commercial.

Ce cours a été élaboré dans le cadre du partenariat entre l’UNIDO  et HP LIFE avec le soutien financier de l’USAID et de la fondation HP.
",Créer / Innover,https://www.life-global.org/fr/fr/course/337-%C3%A9conomie-circulaire
Démarrer une petite entreprise,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR28,"Comment puis-je créer une petite entreprise ?
Découvrez les étapes à suivre pour créer une petite entreprise et élaborer un plan d'affaires permettant de définir une stratégie de croissance efficace.

Dans cette formation, vous apprendrez à :

Utiliser la pensée entrepreneuriale pour créer une entreprise.
Configurer l'outil Mon plan d' affaires , un outil HP LIFE pour vous aider à créer un plan d'affaires.
Analyser les indicateurs pour mesurer le succès de votre entreprise.
",Créer / Innover,https://www.life-global.org/fr/fr/course/114-d%C3%A9marrer-une-petite-entreprise
L'entrepreneuriat social,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR21,"Comment puis-je créer une entreprise durable, afin de solutionner un problème dans ma communauté ?
Découvrez la signification d'une entreprise sociale, les différences qu'elle présente par rapport aux entreprises traditionnelles et les paramètres à prendre en compte pour en créer une avec succès.

Dans ce cours, vous apprendrez à :

Évaluer si un concept d'entreprise sociale est durable et peut avoir un impact social positif.
Éviter les erreurs couramment faites lors de la création d'une entreprise sociale.
Utiliser des outils à la disposition des entrepreneurs afin de mieux comprendre votre public et les défis auxquels il est confronté.
",Créer / Innover,https://www.life-global.org/fr/fr/course/323-l'entrepreneuriat-social
Moteurs de croissance,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR31,"Qu’est-ce qu’un moteur de croissance et comment en utiliser un pour promouvoir la croissance de mon entreprise ?
Découvrez comment un moteur de croissance peut aider à la croissance de votre entreprise en transformant des visiteurs intéressés en utilisateurs et clients satisfaits.

Dans ce cours, apprenez à : 

Déterminer les principaux éléments d’un moteur de croissance
Décrire les composantes individuelles de chaque partie du moteur de croissance
Poser des questions clés pour mieux analyser l’expérience client
Construire un moteur de croissance pour faire face à une situation nouvelle
Générer des idées pour nourrir le moteur de croissance d’une entreprise personnelle
",Créer / Innover,https://www.life-global.org/fr/fr/course/111-moteurs-de-croissance
Impression 3D,Pas plus de 60 minutes,À votre rythme,Français,"HP LIFE & Youth for Technology Foundation
 (YTF)",HPL-FR29,"Comment puis-je développer un site Internet pour m’aider à atteindre mes objectifs professionnels ?
“Le cours Sites Internet Professionnels Efficaces soutient vos objectifs commerciaux en vous enseignant les bases afin de créer un site Internet convivial qui vous permet d’attirer de nouveaux clients et de fidéliser la clientèle existante. 

Dans ce cours, vous apprendrez à :

Découvrir les avantages et les fonctions d’un site Internet professionnel.
Comprendre vos clients et comment ils utilisent un site Internet professionnel.
Utiliser un logiciel de conception Web en ligne pour créer un site Internet professionnel.
Utiliser les indicateurs du site Internet pour améliorer votre activité.

",Créer / Innover,https://www.life-global.org/fr/fr/course/113-impression-3d
L’état d’esprit de réussite,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR30,"Comment puis-je développer un état d’esprit menant au succès ?
Découvrez ce qu’est l’état d’esprit du succès, comment le développer et comment ceci peut aider à créer un avenir fructueux.

Dans ce cours, apprenez à : 

Comprendre ce qui vous rend heureux – vos valeurs, vos centres d’intérêt et vos priorités
Créer une vision d’avenir, fixer vos objectifs personnels / professionnels et élaborer un programme de réussite
Apprendre à compléter votre programme en développant de bonnes habitudes entrepreneuriales et à tirer parti de vos atouts pour réussir
",Créer / Innover,https://www.life-global.org/fr/fr/course/112-l%E2%80%99%C3%A9tat-d%E2%80%99esprit-de-r%C3%A9ussite
La pensée de conception,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR27,"Comment utiliser le Design thinking dans mon entreprise ?
Découvrez les concepts de base pour identifier, définir, explorer, générer et tester des idées pour résoudre des problèmes difficiles liés à la clientèle. 

Dans ce cours, apprenez à :

Définir un problème et mettre un problème en énoncé
Organiser des entretiens pour connaître les clients potentiels et comprendre leurs besoins non satisfaits
Explorer le problème pour approfondir votre compréhension
Générer et tester des solutions pour résoudre le problème
Utiliser les commentaires pour mettre en œuvre et améliorer la solution
",Créer / Innover,https://www.life-global.org/fr/fr/course/115-la-pens%C3%A9e-de-conception
Planification stratégique,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR25,"Comment choisir les bonnes stratégies pour un succès à long-terme de mon entreprise ?
Apprenez à appliquer une analyse SWOT (Strenghts (forces), Weaknesses (faiblesses), Opportunities (opportunités), et Threats (menaces)) pour favoriser le succès de votre entreprise.

Dans ce cours, apprenez à :

Utiliser une analyse SWOT pour tenir compte forces, faiblesses, opportunités et menaces de votre entreprise, puis sélectionner les stratégies les plus efficaces pour le succès de votre entreprise.
Simplifier ce processus en intégrant des documents de traitement de texte et des feuilles de calcul
",Créer / Innover,https://www.life-global.org/fr/fr/course/116-planification-strat%C3%A9gique
Flux de trésorerie,Pas plus de 60 minutes,À votre rythme,Français,HP LIFE,HPL-FR16,"Comment suivre mes flux de trésorerie aidera-t-il mon entreprise ?
Découvrez pourquoi les flux de trésorerie sont importants pour votre entreprise et comment prendre des décisions en fonction des ressources dont vous disposez.

Dans ce cours, vous apprendrez à :

Contrôler et suivre vos flux de trésorerie.
Prendre des décisions sur la manière de gérer votre trésorerie.
Naviguer dans une feuille de calcul pour suivre vos flux de trésorerie.
",La Finance,https://www.life-global.org/fr/fr/course/119-flux-de-tr%C3%A9sorerie
