nombre,numero,descripcion,url,idioma,topico
Interface do Excel 2016,1,Vejamos como funciona a interface do Microsoft Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Interface do Excel no macOS,2,Vejamos como é composta a interface do Excel no macOS.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Modo de exibição Backstage do Excel 2016,3,No modo de exibição Backstage do Excel 2016 você encontrará opções importantes para trabalhar com uma folha de cálculo.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Visualizações do Excel 2016,4,O Excel 2016 tem três tipos de visualizações que você pode usar para trabalhar com uma Planilha.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Entrar no Excel 2016,5,Aprende como entrar com uma conta da Microsoft no Excel 2016 e conectá-lo aos demais serviços da Microsoft.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Como criar um novo arquivo no Excel 2016,6,Aprenda como criar uma nova pasta de trabalho no Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Como salvar um arquivo no Excel 2016,7,Nesta página veremos como salvar um arquivo do Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Compartilhar um documento no Excel 2016,8,Aprenda como compartilhar uma Pasta de Trabalho do Excel 2016 com outras pessoas para que várias pessoas possam trabalhar ao mesmo tempo.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Exportar um documento no Excel 2016,9,Aprenda como exportar um documento do Excel 2016 para formatos como PDF e outros.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Imprimir usando o Excel 2016,10,Aprenda com a gente como imprimir usando o Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Configurar impressão no Excel 2016,11,Vejamos como configurar as quebras de página no Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Opção Diga-me o que você deseja fazer?,12,Aprenda como funciona a opção Diga-me o que você deseja fazer? do Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Guia Fórmulas do Excel 2016,13,Vejamos o que podemos encontrar na guia Fórmulas do Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Como criar uma função no Excel,14,aprenda como criar uma função no Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Comando Inserir Função,15,Você sabe o que é o comando Inserir função no Excel 2016 e como usa-lo?,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Quebrar texto e Mesclar células no Excel 2016,16,Veja como funciona as opções Quebrar texto e Mesclar e Centralizar células no Excel.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Como usar Localizar e Substituir no Excel 2016,17,Aprenda como localizar e substituir informações nas planilhas do Excel.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Como usar a opção Verificar ortografia,18,Aprenda como usar a opção Verificar ortografia no Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Como congelar painéis e outras opções da guia Exibir,19,Veja como congelar painéis e como trabalhar com outras opções da guia Exibir no excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Como classificar e filtrar dados no Excel 2016,20,Veja como classificar e filtrar dados no Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Como filtrar dados no Excel 2016,21,Vejamos como filtrar os dados no Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Grupos en Excel 2016,22,¿Sabes cómo usar los grupos en Excel 2016? Aquí te enseñamos.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Subtotais no Excel 2016,23,Os subtotais no Excel lhe permite usar funções em determinados grupos de células escolhidas.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Como criar uma tabela no Excel 2016,24,Quer aprender a inserir uma tabela no Excel 2016?,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Alterar uma tabela no Excel 2016,25,Aprenda como alterar o tema de uma tabela do Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Como inserir um gráfico no Excel 2016,26,Aprenda com a gente como inserir um gráfico no Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Como alterar um estilo de um gráfico,27,Aprenda como alterar o estilo de um gráfico do Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Tabelas dinâmicas no Excel 2016,28,As tabelas dinâmicas de Excel são ferramentas bastante úteis. Aprenda aqui como usá-la.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Os gráficos dinâmicos no Excel 2016,29,Você sabe o que é um gráfico dinâmico e para que serve? Nesta página te explicaremos.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Formatação condicional no Excel 2016,30,Nesta página veremos como funciona a formatação condicional no Excel 2016.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Como entrar no Excel para móveis,31,Com o Office 365 você pode acessar o Excel usando um aparelho como um tablet ou um smartphone..,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
Interface do Excel em aparelhos móveis,32,Veja como está composta da interface do Excel em aparelhos móveis.,https://edu.gcfglobal.org//pt/excel-2016/,Portugues,excel-2016
