nombre,numero,descripcion,url,idioma,topico
Esse negócio de e-commerce bem explicadinho,1,"O que é e-commerce, o que é marketplace, o que é dropshipping, como vender pela internet, porque você deveria criar seu negócio na internet agora, como vender por redes sociais, marketplace, dropshipping, como criar minha loja virtual, que tipo de negócios são bem-sucedidos online.",https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
O que é e-commerce e como tudo isso começou,2,O que é e-commerce e como tudo isso começou,https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Por que você deveria começar a vender na internet agora ,3,"Razões para começar a vender online agora, crescimento do comércio eletrônico, mudanças nos hábitos do consumidor pós pandemia, mudanças nos hábitos de consumo.",https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Como vender na internet,4,"Como vender na internet, principais formatos de vendas na internet, conceitos básicos vendas na internet, como vender nas redes sociais, como vender no Facebook, como vender no Instagram, como vender em marketplaces, como vender por dropshipping, como criar uma loja virtual",https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
O que vender na internet,5,"O que vender na internet, tipos de negócio online, negócios que funcionam no mundo digital, vender serviços online, vender produtos online, como começar a empreender na internet",https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Primeiros passos para criar seu negócio online,6,​Primeiros passos para criar seu negócio online​,https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Como definir seu cliente ideal ou buyer persona,7,Entenda porque é importante definir o cliente ideal ou buyer persona do seu negócio e utilize nossa ferramenta interativa para você desenvolvê-lo. Na sequência veja como você pode utilizar essa informação para atrair o público correto.,https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Nichos de mercado e concorrência online,8,"​Nichos de mercado e concorrência online, nicho de mercado online, como encontrar seu nicho de mercado,  como encontrar seus concorrentes, o que analisar na concorrência",https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Definindo seu produto ou serviço final,9,"Definindo seu produto ou serviço final, ​o que ter em conta na hora de escolher o fornecedor, como apaixonar seu cliente",https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Estruturando seu negócio digital,10,"Aspectos legais do comércio eletrônico, como calcular o investimento necessário, boas práticas de estoque e inventário, logística do empreendimento digital, desenho do  fluxo interno de vendas do e-commerce.",https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Aspectos legais do comércio eletrônico,11,"Destacamos os principais aspectos legais do comércio eletrônico, resumindo o que se estabelece o Código de Defesa do Consumidor, o marco civil da internet e ressaltando cuidados gerais para manter seu e-commerce dentro da lei.",https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Modelos de comércio eletrônico que cabem no seu bolso,12,"Descubra o modelo de comércio eletrônico que cabe no seu bolso, conheça alguns formatos de comércio eletrônico de baixo, médio e alto investimento, veja como calcular quantas visitas seu comércio eletrônico tem que conseguir para alcançar as vendas que você espera. ",https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Tipos de estoque e logística básica do e-commerce,13,Apresentamos os tipos de estoque mais comuns no comércio eletrônico e discutimos  pontos básicos na hora de planejar a logística básica do e-commerce.,https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Vender no Facebook em 4 passos,14,"Vender no Facebook em 4 passos, por que vender no Facebook, como criar uma página para seu negócio no Facebook, como criar uma loja no Facebook e comercializar itens físicos, como promover sua página para conseguir fãs, como usar o facebook messenger para vender",https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Por que vender no Facebook?,15,"Aqui listamos as razões pelas quais você deveria vender no Facebook, mostramos o perfil dos usuários do Facebook no Brasil e as principais características que tornam o Facebook um canal interessante para você divulgar seu negócio.",https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Como criar sua página empresarial no Facebook com visual pro,16,​Como criar sua página empresarial no Facebook com visual pro,https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Como criar sua loja no Facebook,17,"Aqui explicamos o passo a passo para criar sua loja no Facebook, subir as fotos dos seus produtos e muito mais!",https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Como promover sua página do Facebook e utilizar o messenger,18,Aqui compartilhamos sugestões de como ​promover sua página do Facebook e  como configurar mensagens automáticas no messenger para atender os contatos que você recebe na sua página de maneira rápida e personalizada.,https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Vender no Instagram,19,"Como criar uma conta comercial no Instagram, como completar a bio do seu Instagram comercial, como agregar a opção loja do Instagram, como atualizar sua página comercial do Instagram com conteúdo, como definir objetivos para suas publicações do Instagram",https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Como criar uma conta no Instagram para Negócios,20,Aqui você aprenderá o passo a passo para criar uma conta no Instagram especialmente direcionada para seu negócio.,https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
Como turbinar sua bio do Instagram para negócios,21,"Explicamos como você pode completar as informações do seu perfil profissional do Instagram, tornando essa seção mais atrativa.",https://edu.gcfglobal.org//pt/vender-pela-internet-para-iniciantes/,Portugues,vender-pela-internet-para-iniciantes
