nombre,numero,descripcion,url,idioma,topico
Como obter o Windows 10,1,Veja o que fazer para adquirir este sistema operacional e quais requisitos são necessários.,https://edu.gcfglobal.org//pt/tudo-sobre-o-windows-10/,Portugues,tudo-sobre-o-windows-10
Características e novidades do Windows 10,2,Conheça as principais características do sistema operacional da Microsoft.,https://edu.gcfglobal.org//pt/tudo-sobre-o-windows-10/,Portugues,tudo-sobre-o-windows-10
As diferenças entre o Windows 10 e o Windows 8,3,"O que muda neste sistema operacional em comparação com o anterior? 
",https://edu.gcfglobal.org//pt/tudo-sobre-o-windows-10/,Portugues,tudo-sobre-o-windows-10
Como funciona a Central de ações do Windows 10?,4,"Conheça o funcionamento desta ferramenta do sistema operacional da Microsoft.
",https://edu.gcfglobal.org//pt/tudo-sobre-o-windows-10/,Portugues,tudo-sobre-o-windows-10
Sobre a Área de trabalho do Windows 10,5,Assim está formada a interface da Área de trabalho do Windows 10. Veja como organizá-la.,https://edu.gcfglobal.org//pt/tudo-sobre-o-windows-10/,Portugues,tudo-sobre-o-windows-10
Como funciona a barra de tarefas do Windows 10,6,"Aprenda a configurar a barra de tarefas e como funciona esta ferramenta.
",https://edu.gcfglobal.org//pt/tudo-sobre-o-windows-10/,Portugues,tudo-sobre-o-windows-10
Como fixar janelas no Windows 10?,7,Aprenda a usar o modo multitarefa para trabalhar com vários programas ao mesmo tempo na sua tela.,https://edu.gcfglobal.org//pt/tudo-sobre-o-windows-10/,Portugues,tudo-sobre-o-windows-10
O menu Iniciar,8,"Conheça e identifique é está composta esta ferramenta do Windows 10.

",https://edu.gcfglobal.org//pt/tudo-sobre-o-windows-10/,Portugues,tudo-sobre-o-windows-10
Como se conectar a uma rede Wi-fi,9,"Aprenda a conectar seu computador com a internet usando uma rede Wi-fi.
",https://edu.gcfglobal.org//pt/tudo-sobre-o-windows-10/,Portugues,tudo-sobre-o-windows-10
Conectar uma impressora no seu computador,10,"Se você tem uma impressora com wifi, pode configurar seu dispositivo facilmente para imprimir todos os seus documentos.",https://edu.gcfglobal.org//pt/tudo-sobre-o-windows-10/,Portugues,tudo-sobre-o-windows-10
