nombre,numero,descripcion,url,idioma,topico
Frações como partes da unidade,1,"Entenda o que são e como as frações devem ser interpretadas, seus nomes e como funcionam.",https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Frações como partes de uma totalidade,2, Nesta página você aprenderá a interpretar as frações não apenas como parte de uma unidade mas de várias.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Como ler as frações?,3,Aprenda a ler e fazer referência às frações de forma correta. Entenda também a relação existente entre a linguajem e o conceito de fração.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Frações negativas,4,Entenda o que significa frações negativas e como podemos escrevê-las.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Frações equivalentes,5,O que são frações equivalentes e como saber quando duas frações são equivalentes?,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Frações equivalentes para inteiros e naturais,6,"Saiba representar naturais e inteiros como frações e vice-versa é muito fácil, veja:",https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Ampliação de frações,7,Você já ouviu falar em ampliação de frações? ,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Simplificação de frações,8,Conheça detalhadamente o conceito de simplificação de frações.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Números mistos,9,Aprenda o que são os números mistos e como transformá-los em frações.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Soma de frações homogêneas,10,Veja como somar e subtrair frações homogêneas sem ter que aprender fórmulas de memória.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Soma de frações heterogêneas,11,Você sabe como somar frações? Veja como é fácil!,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Subtração de frações homogêneas,12,"Faça subtrações de frações homogêneas de forma prática e natural, sem ter que decorar fórmulas.",https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Subtração de frações heterogêneas,13,Nesta página você aprenderá a subtrair frações heterogêneas e a fazer somas e subtrações combinadas de frações.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Além das fórmulas,14,Como fazer somas de frações heterogêneas?,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Problemas com somas e subtrações de frações,15,Saiba como usar a soma e a subtração de frações para resolver problemas do dia a dia.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Multiplicação de frações,16,Aprenda a multiplicar números fracionários e entenda porque o processo é feito dessa forma.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Problemas com multiplicação de frações,17,Resolva problemas do dia a dia usando a multiplicação de frações.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Divisão de frações,18,"Existem várias formas de multiplicar frações, observe.",https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
Problemas com divisão de frações,19,Solucione vários problemas usando a divisão de frações.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
As razões,20,Você sabe o que é uma razão entre duas grandezas? Veja aqui nesta página.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
As taxas,21,Saiba o que são taxas e quais suas relações com as frações.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
As proporções,22,Aprenda como usar as proporções para resolver problemas de razões.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
As probabilidades,23,Aprenda como usar frações para descrever eventos de probabilidade.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
A música,24,As frações também são usadas para representar a duração das notas musicais de uma partitura. Aprende como aqui.,https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
A música II,25,"As frações são usadas para representar a duração das notas musicais numa partitura. Aprende como usá-las 
aqui.",https://edu.gcfglobal.org//pt/numeros-fracionarios/,Portugues,numeros-fracionarios
