nombre,numero,descripcion,url,idioma,topico
Perca o medo de fazer mudanças na sua vida,1,"Mesmo quando queremos muito mudar nosso estilo de vida, nem sempre é muito fácil.",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Deu branco? Como superar o bloqueio mental,2,Alguma vez já deu um branco na hora que você estava fazendo algo? Aprenda a superar esse bloqueio.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Saiba como aproveitar melhor o seu tempo,3,Alguns conselhos para aproveitar o tempo na hora de criar um projeto.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Por que a filosofia é importante?,4,Você já parou para pensar o que é a filosofia? Sabia que ela é muito importante na nossa vida?,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Construindo seu Coach interior,5,"Frente a uma situação complicada, seus pensamentos lhe aterrorizam ou lhe dão animo para vencer?",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
É difícil reconhecer que não sabemos,6,Alguma vez você já fingiu saber algo só para não ficar envergonhado?,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Como responder às mudanças?,7,"Ao longo da vida nos deparamos com muitas mudanças. Mas o que vai determinar o efeito que elas tem sobre a gente, é como decidimos reagir.",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Como tomar decisões?,8,Tomar decisões nem sempre é fácil e é comum dicar com medo das consequências que elas podem trazer. Aqui temos algumas dicas que você pode usar na próxima vez que estiver enfrentando uma decisão.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Como ser mais produtivo,9,Conselhos para aproveitar melhor seu tempo no trabalho.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Existe algo que não lhe deixa realizar seu sonhos,10,Existe algo que não lhe deixa realizar seu sonhos: Estamos falando da procrastinação. Observe!,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Crise: Uma oportunidade de recomeçar,11,As vezes podemos entender a crise como uma oportunidade de recomeçar.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Atinja todos seus objetivos,12,Como conseguir realizar de verdade os planos que fazemos para nossa vida?,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Como resolver uma discussão?,13,"Ao presenciar uma discussão no local de trabalho, é importante saber como agir para resolver essa situação sem afetar a harmonia do seu espaço de trabalho.",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Aprendendo a escutar,14,"Escutar atentamente é muito importante para nossas relações tanto no trabalho como na vida pessoal. Quando ouvimos com atenção o que o outro está falando, evitamos muitos mal-entendidos.",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Linguagem corporal,15,"Você sabia que, além da linguagem falada ou escrita, existe a linguagem corporal? Nesta página você saberá como se expressar sem ter que falar uma palavra.",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
O problema da falta de comunicação,16,Por que ocorre a falta de comunicação e como evitá-lo?,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Aprendendo com os fracassos,17,O medo de falhar sempre se apresenta nas nossas vidas. Veja quais maneiras você pode usar para superar o medo e aprender com os fracassos.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Medo do ridículo,18,"O valor que mais nos faz falta: o de enfrentar o ridículo.
",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Como lidar com o estresse?,19,"Todos nós já tivemos estresse, mas a maneira como lidamos e reagimos frente a ele é que determina o quanto ele pode nos afetar.",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Tudo é uma questão de hábito...,20,Neste artigo apresentamos algumas dicas para adquirir ou deixar de ter um hábito.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
A importância da música na infância,21,"A música desenvolve em nosso cérebro várias habilidades, veja um pouco da sua importância.",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Estou desempregado(a)! E agora?,22,"Selecionamos algumas dicas para conseguir um trabalho, veja!",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Como procurar emprego sem experiência?,23,"Se você está procurando o seu primeiro emprego mas não tem experiência, não se preocupe! Você tem muitas habilidades que podem ser destacadas para que você se torne o candidato ideal.",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Dicas para uma entrevista de emprego,24,O que fazer com algo tão importante e decisivo como a entrevista de emprego?,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
​Cinco perguntas difíceis numa entrevista,25,Nesta página apresentamos algumas dicas para responder as cinco perguntas mais difíceis de uma entrevista de trabalho.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Networking: Como aumentar sua rede de contatos,26,Saiba o que é networking empregá-lo na sua vida.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Como procurar emprego de forma eficiente?,27,Procurar emprego pode ser complicado. Aqui apresentamos algumas dicas para que você possa passar por este processo com a melhor atitude.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Competências técnicas e comportamentais,28,Conheça algumas diferenças e exemplos de competências técnicas e competências comportamentais necessárias para ter sucesso no trabalho.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Como melhorar sua postura no trabalho?,29,Conheça algumas recomendações para corrigir a má postura no seu trabalho.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Conheça alguns tipos de líderes,30,"""Conhecer a si mesmo"", uma das características mais importantes para ser líder.",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Como trabalhar bem em Home office,31,O teletrabalho é cada mais comum. Conselhos para ser mais produtivo.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
O que é etiqueta no trabalho?,32,Vejamos o que é um código de comportamento dentro de uma empresa e como isso pode afetar a impressão que seus colegas de trabalho têm de você.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Felicidade no trabalho,33,"Encontrar felicidade no trabalho é possível, tudo depende de como você vê as coisas e de como lida com seus colegas. Apresentamos algumas dicas para melhorar esta importante área de trabalho.",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Como resolver conflitos no trabalho?,34,"Os conflitos no trabalho surgem em qualquer trabalho e para resolvê-los o ideal é conseguir uma solução eficiente e harmoniosa. Nesta página, mostramos algumas dicas que podem ajudá-lo a lidar com essa situação.",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Como escolher uma carreira profissional?,35,Escolher uma carreira profissional nem sempre é fácil. Por isso temos aqui algumas dicas que lhe ajudarão na hora de escolher sua profissão do futuro.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Sua profissão,36,"Quando se trata de escolher uma profissão, você deve pensar muito. Mas qual caminho seguir? Estas dicas vão lhe ajudar.",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Quanto custa seu trabalho dos sonhos,37,Quanto custa seu trabalho dos sonhos? Veja o que considerar na hora de aceitar uma nova proposta de trabalho e quais os custos que você deve ter em conta. ,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Conselhos antes de mudar de profissão,38,Você está pensando em mudar sua profissão? Considere esses conselhos antes de procurar uma nova profissão.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Vale a pena ter mais de um emprego?,39,"Se você está pensando em ter vários empregos é porque sabe que isso trará alguns benefícios. No entanto, é importante saber que essa decisão também traz outros pontos que devem ser considerados.",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Como ser um escritor profissional?,40,"Se o seu sonho é ser um escritor profissional, talvez essas dicas poderão lhe ser bastante úteis. ",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Como exercitar seu cérebro?,41,Sabia que existem vários exercícios que lhe ajudam a melhorar seu cérebro?,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Métodos de memorização e porque eles funcionam,42,Veja como melhorar sua capacidade de memorização. Conheça algumas estratégias de memorização e aplique-as nos estudos.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
A importância de aprender,43,O prazer de aprender está em sentir a aprendizagem como uma experiência estimulante e positiva. Veja este exemplo para saber como tirar o maior proveito deste processo.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Como estudar bem,44,Trazemos neste artigo algumas dicas para que seu estudo tenha bons resultados.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Tipos de Aprendizagem,45,"Na hora de aprender algo novo, nem todos fazemos da mesma forma e com os mesmos métodos.",https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Tipos de inteligência,46,Você sabia que existem vários tipos de inteligência?,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
Os vários benefícios de estudar virtualmente,47,Estudar na internet pode ser útil para muitas pessoas. Veja nossas dicas.,https://edu.gcfglobal.org//pt/crescimento-profissional/,Portugues,crescimento-profissional
